Assuming page size is 4 KB

Global5: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
    8192, 186.129297
    8704, 197.351562
    9216, 197.083203
    9728, 197.195703
   10240, 197.035547
   10752, 197.250781
   11264, 197.103125
   11776, 197.178516
   12288, 197.088281
   12800, 197.351562
   13312, 196.977344
   13824, 197.267578
   14336, 197.103906
   14848, 197.241406
   15360, 197.088672
   15872, 197.307422
   16384, 197.121875
   16896, 197.328516
   17408, 197.112109
   17920, 197.310156
   18432, 197.112891
   18944, 197.304297
   19456, 197.107812
   19968, 197.267188
   20480, 197.037891
   20992, 197.276563
   21504, 196.996875
   22016, 197.247266
   22528, 197.100000
   23040, 197.310156
   23552, 197.106250
   24064, 197.276953
   24576, 197.112500
   25088, 197.269922
   25600, 197.066406
   26112, 197.279297
   26624, 197.103906
   27136, 197.729297
   27648, 197.484375
   28160, 197.742188
   28672, 197.493750
   29184, 197.730469
   29696, 197.512500
   30208, 197.686328
   30720, 197.530859
   31232, 197.711328
   31744, 197.455859
   32256, 197.670703
   32768, 197.492188
   33280, 197.683203
   33792, 197.459766
   34304, 197.664844
   34816, 197.477734
   35328, 197.686328
   35840, 197.515625
   36352, 197.689063
   36864, 197.511328
   37376, 197.692187
   37888, 197.419922
   38400, 197.684375
   38912, 197.472656
   39424, 197.713281
   39936, 197.469922
   40448, 197.703906
   40960, 197.438281
   41472, 197.677734
   41984, 197.478516
   42496, 197.682813
   43008, 197.476562
   43520, 197.707812
   44032, 197.457031
   44544, 197.651953
   45056, 197.479297
   45568, 197.705469
   46080, 197.415625
   46592, 197.633594
   47104, 197.467969
   47616, 197.685547
   48128, 197.531641
   48640, 197.663672
   49152, 197.521094
   49664, 197.677734
   50176, 197.520312
   50688, 197.684766
   51200, 197.446875
   51712, 197.670703
   52224, 197.477734
   52736, 197.703516
   53248, 197.452344
   53760, 197.668359
   54272, 197.484375
   54784, 197.698828
   55296, 197.487500
   55808, 197.663281
   56320, 197.499609
   56832, 197.662500
   57344, 197.473437
   57856, 197.664062
   58368, 197.474219
   58880, 197.688672
   59392, 197.473047
   59904, 197.704297
   60416, 197.505859
   60928, 197.683984
   61440, 197.514453
   61952, 197.702344
   62464, 197.482422
   62976, 197.724219
   63488, 197.491406
   64000, 197.695312
   64512, 197.499609
   65024, 197.692578
   65536, 197.546094
   66048, 197.705859
   66560, 197.499219
   67072, 197.723047
   67584, 197.479297
   68096, 197.681250
   68608, 197.481250
   69120, 197.680859
   69632, 197.471484
   70144, 197.665625
   70656, 197.483594
   71168, 197.664844
   71680, 197.511328
   72192, 197.673438
   72704, 197.499609
   73216, 197.692969
   73728, 197.495703
   74240, 197.667969
   74752, 197.464453
   75264, 197.682031
   75776, 197.485547
   76288, 197.673828
   76800, 197.503125
   77312, 197.670703
   77824, 197.480859
   78336, 197.660547
   78848, 197.492578
   79360, 197.658203
   79872, 197.458203
   80384, 197.657031
   80896, 197.471875
   81408, 197.708984
   81920, 197.479297
   82432, 197.691016
   82944, 197.471094
   83456, 197.645703
   83968, 197.478516
   84480, 197.723437
   84992, 197.523438
   85504, 197.671484
   86016, 197.477344
   86528, 197.676172
   87040, 197.500000
   87552, 197.667578
   88064, 197.477344
   88576, 197.666016
   89088, 197.480078
   89600, 197.676172
