Assuming page size is 4 KB

Global5: Global memory latency for 64 KB stride.
   Array size (KB), latency (clocks)
    4096, 197.100000
    4160, 197.293359
    4224, 197.057422
    4288, 197.372656
    4352, 197.137500
    4416, 197.325391
    4480, 197.128125
    4544, 197.292969
    4608, 197.086328
    4672, 197.310937
    4736, 197.130078
    4800, 197.302734
    4864, 197.148828
    4928, 197.313672
    4992, 197.132422
    5056, 197.276953
    5120, 197.082812
    5184, 197.330859
    5248, 197.101953
    5312, 197.282813
    5376, 197.060937
    5440, 197.312109
    5504, 197.112109
    5568, 197.285156
    5632, 197.175391
    5696, 197.337109
    5760, 197.098437
    5824, 197.304297
    5888, 197.089844
    5952, 197.335156
    6016, 197.147656
    6080, 197.324609
    6144, 197.137500
    6208, 197.351172
    6272, 197.117969
    6336, 197.258594
    6400, 197.115234
    6464, 197.287891
    6528, 197.089844
    6592, 197.316016
    6656, 197.136328
    6720, 197.246875
    6784, 197.537109
    6848, 197.727734
    6912, 197.534766
    6976, 197.721875
    7040, 197.543359
    7104, 197.737891
    7168, 197.530469
    7232, 197.757031
    7296, 197.481641
    7360, 197.787500
    7424, 197.553906
    7488, 197.744141
    7552, 197.516797
    7616, 197.794922
    7680, 197.508984
    7744, 197.700781
    7808, 197.515234
    7872, 197.757422
    7936, 197.521094
    8000, 197.781250
    8064, 197.516797
    8128, 197.698828
    8192, 197.511328
    8256, 197.732422
    8320, 197.534375
    8384, 197.728906
    8448, 197.514062
    8512, 197.739844
    8576, 197.460156
    8640, 197.755469
    8704, 197.536328
    8768, 197.733984
    8832, 197.522656
    8896, 197.743359
    8960, 197.505859
    9024, 197.745703
    9088, 197.551562
    9152, 197.748437
    9216, 197.521094
    9280, 197.705078
    9344, 197.574219
    9408, 197.776953
    9472, 197.521484
    9536, 197.706641
    9600, 197.538281
    9664, 197.719922
    9728, 197.476562
    9792, 197.755859
    9856, 197.538672
    9920, 197.730469
    9984, 197.534375
   10048, 197.731641
   10112, 197.519141
   10176, 197.634766
   10240, 197.537109
   10304, 197.721875
   10368, 197.549609
   10432, 197.717969
   10496, 197.576562
   10560, 197.731250
   10624, 197.486328
   10688, 197.687500
   10752, 197.522656
   10816, 197.705078
   10880, 197.515625
   10944, 197.725781
   11008, 197.523438
   11072, 197.704688
   11136, 197.537500
   11200, 197.733984
   11264, 197.511328
   11328, 197.709766
   11392, 197.544141
   11456, 197.695703
   11520, 197.537500
   11584, 197.742969
   11648, 197.525781
   11712, 197.709375
   11776, 197.491797
   11840, 197.639844
   11904, 197.548047
   11968, 197.784375
   12032, 197.513281
   12096, 197.693750
   12160, 197.502344
   12224, 197.724219
   12288, 197.533594
   12352, 197.703516
   12416, 197.513672
   12480, 197.709766
   12544, 197.452344
   12608, 197.716016
   12672, 197.498047
   12736, 197.736328
   12800, 197.518359
   12864, 197.725000
   12928, 197.518359
   12992, 197.727344
   13056, 197.531250
   13120, 197.700781
   13184, 197.497266
   13248, 197.705469
