Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   8,    0.03, 0.003906, 187.190918
   8,    0.03, 0.003906, 187.398145
   8,    0.03, 0.003906, 187.208691
   8,    0.06, 0.007812, 187.399316
   8,    0.06, 0.007812, 187.166113
   8,    0.06, 0.007812, 187.394727
   8,    0.09, 0.011719, 187.203223
   8,    0.09, 0.011719, 187.397656
   8,    0.12, 0.015625, 187.193555
   8,    0.16, 0.019531, 187.122070
   8,    0.19, 0.023438, 186.663965
   8,    0.22, 0.027344, 186.611328
   8,    0.25, 0.031250, 186.126465
   8,    0.31, 0.039062, 186.590332
   8,    0.34, 0.042969, 186.385449
   8,    0.41, 0.050781, 186.847266
   8,    0.50, 0.062500, 186.110840
   8,    0.59, 0.074219, 186.292676
   8,    0.72, 0.089844, 186.359863
   8,    0.84, 0.105469, 186.562305
   8,    1.00, 0.125000, 186.091504
   8,    1.19, 0.148438, 186.556641
   8,    1.41, 0.175781, 186.362109
   8,    1.69, 0.210938, 186.280273
   8,    2.00, 0.250000, 186.108887
   8,    2.38, 0.296875, 186.020312
   8,    2.84, 0.355469, 186.622266
   8,    3.38, 0.421875, 186.305762
   8,    4.00, 0.500000, 186.098926
   8,    4.75, 0.593750, 185.991309
   8,    5.66, 0.707031, 186.366309
   8,    6.72, 0.839844, 186.571680
   8,    8.00, 1.000000, 186.105957
   8,    9.50, 1.187500, 186.577344
   8,   11.31, 1.414062, 186.108984
   8,   13.47, 1.683594, 186.523145
   8,   16.00, 2.000000, 186.095996
   8,   19.03, 2.378906, 186.841211
   8,   22.62, 2.828125, 186.372949
   8,   26.91, 3.363281, 186.570410
   8,   32.00, 4.000000, 186.095313
   8,   38.06, 4.757812, 186.282031
   8,   45.25, 5.656250, 186.389062
   8,   53.81, 6.726562, 186.319043
   8,   64.00, 8.000000, 186.096387
   8,   76.09, 9.511719, 186.856152
   8,   90.50, 11.312500, 186.374609
   8,  107.62, 13.453125, 186.291406
   8,  128.00, 16.000000, 186.112305
   8,  152.22, 19.027344, 186.592383
   8,  181.03, 22.628906, 186.647949
   8,  215.28, 26.910156, 186.034082
   8,  256.00, 32.000000, 186.112598
   8,  304.44, 38.054688, 186.539746
   8,  362.03, 45.253906, 186.950488
   8,  430.53, 53.816406, 186.848535
   8,  512.00, 64.000000, 186.647852
   8,  608.88, 76.109375, 186.311426
   8,  724.06, 90.507812, 186.916016
   8,  861.06, 107.632812, 186.834961
   8, 1024.00, 128.000000, 186.375879
   8, 1217.75, 152.218750, 186.591797
   8, 1448.16, 181.019531, 186.112891
   8, 1722.16, 215.269531, 186.569727
   8, 2048.00, 256.000000, 186.372852
   8, 2435.50, 304.437500, 186.596680
   8, 2896.31, 362.039062, 186.101758
   8, 3444.31, 430.539062, 186.575391
   8, 4096.00, 512.000000, 186.108105
   8, 4871.00, 608.875000, 186.585938
   8, 5792.62, 724.078125, 187.098340
   8, 6888.62, 861.078125, 187.062500
   8, 8192.00, 1024.000000, 186.579199
   8, 9742.00, 1217.750000, 187.039160
   8, 11585.25, 1448.156250, 186.023340
   8, 13777.25, 1722.156250, 187.031934
   8, 16384.00, 2048.000000, 186.836426
   8, 19483.97, 2435.496094, 187.063574
   8, 23170.47, 2896.308594, 187.108105
   8, 27554.50, 3444.312500, 187.318359
   8, 32768.00, 4096.000000, 186.569824
   8, 38967.94, 4870.992188, 187.049023
   8, 46340.94, 5792.617188, 187.089648
   8, 55109.00, 6888.625000, 187.605176
   8, 65536.00, 8192.000000, 186.556055
   8, 77935.88, 9741.984375, 186.764258
   8, 92681.91, 11585.238281, 186.846582
   8, 110217.97, 13777.246094, 186.777441
   8, 131072.00, 16384.000000, 186.541797
   8, 155871.75, 19483.968750, 186.767188
   8, 185363.81, 23170.476562, 186.831738
   8, 220435.94, 27554.492188, 187.031543
   9,    0.04, 0.003906, 187.645898
   9,    0.04, 0.003906, 187.868652
   9,    0.04, 0.003906, 187.655273
   9,    0.07, 0.007812, 187.868066
   9,    0.07, 0.007812, 187.631055
   9,    0.07, 0.007812, 187.890234
   9,    0.11, 0.011719, 187.667188
   9,    0.11, 0.011719, 187.867676
   9,    0.14, 0.015625, 187.426562
   9,    0.18, 0.019531, 187.365820
   9,    0.21, 0.023438, 186.951660
   9,    0.25, 0.027344, 186.870313
   9,    0.28, 0.031250, 186.695605
   9,    0.35, 0.039062, 187.128906
   9,    0.39, 0.042969, 186.939941
   9,    0.46, 0.050781, 187.123926
   9,    0.56, 0.062500, 186.446582
   9,    0.67, 0.074219, 186.642285
   9,    0.81, 0.089844, 186.922559
   9,    0.95, 0.105469, 186.878320
   9,    1.12, 0.125000, 186.689551
   9,    1.34, 0.148438, 186.895605
   9,    1.58, 0.175781, 186.678418
