Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   16,    0.06, 0.003906, 187.201172
   16,    0.06, 0.003906, 187.364258
   16,    0.06, 0.003906, 187.211328
   16,    0.12, 0.007812, 187.381934
   16,    0.12, 0.007812, 187.197949
   16,    0.12, 0.007812, 187.369043
   16,    0.19, 0.011719, 186.529687
   16,    0.19, 0.011719, 186.701562
   16,    0.25, 0.015625, 186.144043
   16,    0.31, 0.019531, 186.558887
   16,    0.38, 0.023438, 186.519336
   16,    0.44, 0.027344, 186.424512
   16,    0.50, 0.031250, 186.123730
   16,    0.62, 0.039062, 186.163379
   16,    0.69, 0.042969, 185.997168
   16,    0.81, 0.050781, 186.321582
   16,    1.00, 0.062500, 186.101074
   16,    1.19, 0.074219, 186.558594
   16,    1.44, 0.089844, 186.526758
   16,    1.69, 0.105469, 186.435840
   16,    2.00, 0.125000, 186.129785
   16,    2.38, 0.148438, 186.456055
   16,    2.81, 0.175781, 185.979492
   16,    3.38, 0.210938, 186.274316
   16,    4.00, 0.250000, 186.119141
   16,    4.75, 0.296875, 186.046484
   16,    5.69, 0.355469, 186.645605
   16,    6.75, 0.421875, 186.452051
   16,    8.00, 0.500000, 186.133789
   16,    9.50, 0.593750, 186.146777
   16,   11.31, 0.707031, 186.276660
   16,   13.44, 0.839844, 186.718945
   16,   16.00, 1.000000, 186.124512
   16,   19.00, 1.187500, 186.566406
   16,   22.62, 1.414062, 185.837793
   16,   26.94, 1.683594, 186.437500
   16,   32.00, 2.000000, 186.115430
   16,   38.06, 2.378906, 186.599121
   16,   45.25, 2.828125, 186.234277
   16,   53.81, 3.363281, 186.158398
   16,   64.00, 4.000000, 186.115723
   16,   76.12, 4.757812, 186.570605
   16,   90.50, 5.656250, 186.243262
   16,  107.62, 6.726562, 186.043652
   16,  128.00, 8.000000, 186.114648
   16,  152.19, 9.511719, 186.727051
   16,  181.00, 11.312500, 186.662402
   16,  215.25, 13.453125, 186.039160
   16,  256.00, 16.000000, 186.100977
   16,  304.44, 19.027344, 186.576367
   16,  362.06, 22.628906, 186.653125
   16,  430.56, 26.910156, 185.765820
   16,  512.00, 32.000000, 186.110840
   16,  608.88, 38.054688, 186.153809
   16,  724.06, 45.253906, 186.113477
   16,  861.06, 53.816406, 185.896387
   16, 1024.00, 64.000000, 186.369824
   16, 1217.75, 76.109375, 186.178320
   16, 1448.12, 90.507812, 186.104590
   16, 1722.12, 107.632812, 186.303418
   16, 2048.00, 128.000000, 186.233984
   16, 2435.50, 152.218750, 186.587500
   16, 2896.31, 181.019531, 186.165234
   16, 3444.31, 215.269531, 187.032129
   16, 4096.00, 256.000000, 186.564063
   16, 4871.00, 304.437500, 186.635059
   16, 5792.62, 362.039062, 186.988281
   16, 6888.62, 430.539062, 187.045117
   16, 8192.00, 512.000000, 186.559570
   16, 9742.00, 608.875000, 187.333887
   16, 11585.25, 724.078125, 186.015820
   16, 13777.25, 861.078125, 187.058203
   16, 16384.00, 1024.000000, 186.580957
   16, 19484.00, 1217.750000, 187.193359
   16, 23170.50, 1448.156250, 186.572266
   16, 27554.50, 1722.156250, 187.307715
   16, 32768.00, 2048.000000, 186.554590
   16, 38967.94, 2435.496094, 187.056934
   16, 46340.94, 2896.308594, 186.987598
   16, 55109.00, 3444.312500, 187.323535
   16, 65536.00, 4096.000000, 186.569727
   16, 77935.88, 4870.992188, 186.772266
   16, 92681.88, 5792.617188, 187.009375
   16, 110218.00, 6888.625000, 187.205859
   16, 131072.00, 8192.000000, 186.573340
   16, 155871.75, 9741.984375, 186.931250
   16, 185363.81, 11585.238281, 186.452832
   16, 220435.94, 13777.246094, 186.779102
   16, 262144.00, 16384.000000, 186.553223
   16, 311743.50, 19483.968750, 186.893652
   16, 370727.62, 23170.476562, 186.698145
   16, 440871.88, 27554.492188, 186.609570
   17,    0.07, 0.003906, 187.695996
   17,    0.07, 0.003906, 187.844922
   17,    0.07, 0.003906, 187.693164
   17,    0.13, 0.007812, 187.713281
   17,    0.13, 0.007812, 187.538477
   17,    0.13, 0.007812, 187.679004
   17,    0.20, 0.011719, 186.929395
   17,    0.20, 0.011719, 187.047168
   17,    0.27, 0.015625, 186.629492
   17,    0.33, 0.019531, 187.080176
   17,    0.40, 0.023438, 186.902051
   17,    0.46, 0.027344, 186.807813
   17,    0.53, 0.031250, 186.492871
   17,    0.66, 0.039062, 186.686035
   17,    0.73, 0.042969, 186.501270
   17,    0.86, 0.050781, 186.699316
   17,    1.06, 0.062500, 186.655176
   17,    1.26, 0.074219, 186.969922
   17,    1.53, 0.089844, 186.912402
   17,    1.79, 0.105469, 186.914746
   17,    2.12, 0.125000, 186.510938
   17,    2.52, 0.148438, 186.964453
   17,    2.99, 0.175781, 186.501074
   17,    3.59, 0.210938, 186.841797
   17,    4.25, 0.250000, 186.648242
   17,    5.05, 0.296875, 186.392969
   17,    6.04, 0.355469, 187.193066
   17,    7.17, 0.421875, 186.970898
   17,    8.50, 0.500000, 186.490039
   17,   10.09, 0.593750, 186.709473
   17,   12.02, 0.707031, 186.781836
   17,   14.28, 0.839844, 187.223535
   17,   17.00, 1.000000, 186.488086
   17,   20.19, 1.187500, 187.067871
   17,   24.04, 1.414062, 186.379492
   17,   28.62, 1.683594, 186.833984
   17,   34.00, 2.000000, 186.494141
   17,   40.44, 2.378906, 187.086621
   17,   48.08, 2.828125, 186.740234
   17,   57.18, 3.363281, 186.556250
   17,   68.00, 4.000000, 186.633691
   17,   80.88, 4.757812, 187.095020
   17,   96.16, 5.656250, 186.758008
   17,  114.35, 6.726562, 186.438867
   17,  136.00, 8.000000, 186.621875
   17,  161.70, 9.511719, 187.207031
   17,  192.31, 11.312500, 187.149609
   17,  228.70, 13.453125, 186.413477
   17,  272.00, 16.000000, 186.500195
   17,  323.46, 19.027344, 186.971777
   17,  384.69, 22.628906, 187.143164
   17,  457.47, 26.910156, 186.295020
   17,  544.00, 32.000000, 186.542188
   17,  646.93, 38.054688, 186.701465
   17,  769.32, 45.253906, 186.615625
   17,  914.88, 53.816406, 186.432324
   17, 1088.00, 64.000000, 197.701758
   17, 1293.86, 76.109375, 197.646777
   17, 1538.63, 90.507812, 197.464746
   17, 1829.76, 107.632812, 197.793066
   17, 2176.00, 128.000000, 197.597168
   17, 2587.72, 152.218750, 197.887695
   17, 3077.33, 181.019531, 197.184961
   17, 3659.58, 215.269531, 197.919238
   17, 4352.00, 256.000000, 197.591504
   17, 5175.44, 304.437500, 197.518262
   17, 6154.66, 362.039062, 197.720020
   17, 7319.16, 430.539062, 197.666699
   17, 8704.00, 512.000000, 197.463281
