Assuming page size is 4 KB
Global1: Global memory latency for 1 KB array and varying strides.
   stride (bytes), latency (clocks)
      8, 186.115625
     16, 186.302832
     24, 186.117285
     32, 186.275781
     40, 186.115234
     48, 186.330469
     56, 186.121582
     64, 186.314648
     72, 186.103320
     80, 186.316504
     88, 186.105957
     96, 186.315039
    104, 186.132715
    112, 186.328125
    120, 186.119531
    128, 186.314844
    136, 186.128516
    144, 186.303809
    152, 186.114844
    160, 186.322363
    168, 186.109277
    176, 186.328711
    184, 186.105273
    192, 186.305273
    200, 186.117480
    208, 186.307617
    216, 186.127441
    224, 186.328125
    232, 186.094629
    240, 186.309082
    248, 186.119043
    256, 186.296680
    264, 186.115820
    272, 186.324707
    280, 186.105859
    288, 186.267969
    296, 186.107227
    304, 186.318262
    312, 186.133789
    320, 186.310937
    328, 186.101465
    336, 186.302148
    344, 186.144043
    352, 186.313281
    360, 186.111914
    368, 186.321777
    376, 186.095898
    384, 186.339648
    392, 186.119434
    400, 186.315430
    408, 186.136523
    416, 186.319238
    424, 186.117188
    432, 186.309277
    440, 186.105469
    448, 186.317285
    456, 186.123633
    464, 186.320996
    472, 186.116016
    480, 186.316016
    488, 186.117676
    496, 186.327344
    504, 186.125293
    512, 186.318848
    520, 186.116797
    528, 186.303516
    536, 186.100977
    544, 186.302930
    552, 186.117188
    560, 186.302246
    568, 186.100586
    576, 186.317578
    584, 186.054492
    592, 186.315234
    600, 186.121484
    608, 186.315039
    616, 186.121484
    624, 186.329688
    632, 186.089355
    640, 186.310059
    648, 186.111523
    656, 186.300391
    664, 186.098730
    672, 186.311133
    680, 186.097168
    688, 186.314941
    696, 186.101074
    704, 186.300098
    712, 186.096680
    720, 186.300098
    728, 186.097949
    736, 186.292871
    744, 186.107617
    752, 186.320996
    760, 186.093848
    768, 186.422363
    776, 186.544336
    784, 186.732520
    792, 186.546484
    800, 186.752344
    808, 186.541309
    816, 186.751367
    824, 186.541602
    832, 186.716699
    840, 186.550098
    848, 186.740625
    856, 186.553320
    864, 186.754102
    872, 186.561816
    880, 186.745508
    888, 186.536621
    896, 186.752734
    904, 186.569824
    912, 186.741602
    920, 186.550391
    928, 186.756445
    936, 186.566211
    944, 186.740723
    952, 186.572363
    960, 186.744531
    968, 186.552637
    976, 186.742578
    984, 186.576855
    992, 186.740332
   1000, 186.555371
   1008, 186.745410
   1016, 186.550781
   1024, 186.751465
   1032, 186.540527
   1040, 186.749121
   1048, 186.500488
   1056, 186.758398
   1064, 186.537598
   1072, 186.750977
   1080, 186.536133
   1088, 186.748437
   1096, 186.533008
   1104, 186.757520
   1112, 186.549805
   1120, 186.749316
   1128, 186.550098
   1136, 186.742773
   1144, 186.548633
   1152, 186.725977
   1160, 186.565723
   1168, 186.741016
   1176, 186.545605
   1184, 186.738672
   1192, 186.533594
   1200, 186.750977
   1208, 186.543652
   1216, 186.767676
   1224, 186.549609
   1232, 186.740234
   1240, 186.556250
   1248, 186.757617
   1256, 186.502148
   1264, 186.749805
   1272, 186.548633
   1280, 186.755859
   1288, 186.544531
   1296, 186.762207
   1304, 186.557910
   1312, 186.733203
   1320, 186.551758
   1328, 186.739551
   1336, 186.539746
   1344, 186.760156
   1352, 186.552930
   1360, 186.741797
   1368, 186.551660
   1376, 186.743164
   1384, 186.541797
   1392, 186.761426
   1400, 186.546387
   1408, 186.742578
   1416, 186.538281
   1424, 186.741406
   1432, 186.540039
   1440, 186.746777
   1448, 186.572852
   1456, 186.752051
   1464, 186.547070
   1472, 186.720117
   1480, 186.569141
   1488, 186.739062
   1496, 186.548145
   1504, 186.742090
   1512, 186.545605
   1520, 186.730859
   1528, 186.558398
   1536, 186.738477
   1544, 186.552148
   1552, 186.758594
   1560, 186.545117
   1568, 186.751758
   1576, 186.515723
   1584, 186.751270
   1592, 186.549023
   1600, 186.755762
   1608, 186.537402
   1616, 186.756250
   1624, 186.530469
   1632, 186.755371
   1640, 186.546387
   1648, 186.748926
   1656, 186.547266
   1664, 186.748242
   1672, 186.538086
   1680, 186.730664
   1688, 186.526855
   1696, 186.725195
   1704, 186.545215
   1712, 186.733203
   1720, 186.551562
   1728, 186.752148
   1736, 186.539746
   1744, 186.739844
   1752, 186.551074
   1760, 186.737207
   1768, 186.546191
   1776, 186.745801
   1784, 186.532422
   1792, 186.754687
   1800, 186.518750
   1808, 186.740234
   1816, 186.534277
   1824, 186.735547
   1832, 186.540527
   1840, 186.711328
   1848, 186.533398
   1856, 186.729492
   1864, 186.542578
   1872, 186.737793
   1880, 186.545703
   1888, 186.726758
   1896, 186.525000
   1904, 186.732422
   1912, 186.539844
   1920, 186.738672
   1928, 186.568066
   1936, 186.739941
   1944, 186.529980
   1952, 186.755176
   1960, 186.557422
   1968, 186.764746
   1976, 186.537500
   1984, 186.744824
   1992, 186.566309
   2000, 186.732812
   2008, 186.557520
   2016, 186.744043
   2024, 186.557813
   2032, 186.742188
   2040, 186.546680
   2048, 186.710742
   2056, 186.560645
   2064, 186.731348
   2072, 186.549902
   2080, 186.751465
   2088, 186.534277
   2096, 186.740625
   2104, 186.522754
   2112, 186.738672
   2120, 186.551562
   2128, 186.739355
   2136, 186.526074
   2144, 186.747461
   2152, 186.505859
   2160, 186.725879
   2168, 186.547363
   2176, 186.725195
   2184, 186.542188
   2192, 186.723828
   2200, 186.522852
   2208, 186.703125
   2216, 186.546191
   2224, 186.744824
   2232, 186.541602
   2240, 186.726660
   2248, 186.528125
   2256, 186.740234
   2264, 186.530078
   2272, 186.733301
   2280, 186.556348
   2288, 186.737012
   2296, 186.543848
   2304, 186.730957
   2312, 186.496191
   2320, 186.740234
   2328, 186.542090
   2336, 186.735938
   2344, 186.535840
   2352, 186.741602
   2360, 186.528613
   2368, 186.749609
   2376, 186.549707
   2384, 186.737598
   2392, 186.544043
   2400, 186.744922
   2408, 186.542871
   2416, 186.716895
   2424, 186.532422
   2432, 186.751172
   2440, 186.557910
   2448, 186.757617
   2456, 186.548730
   2464, 186.766406
   2472, 186.533008
   2480, 186.741309
   2488, 186.541602
   2496, 186.750977
   2504, 186.529980
   2512, 186.738965
   2520, 186.543750
   2528, 186.744434
   2536, 186.540527
   2544, 186.740918
   2552, 186.552539
   2560, 186.741211
   2568, 186.539648
   2576, 186.697852
   2584, 186.534180
   2592, 186.734473
   2600, 186.536133
   2608, 186.740430
   2616, 186.537109
   2624, 186.724609
   2632, 186.508496
   2640, 186.727734
   2648, 186.544434
   2656, 186.737402
   2664, 186.532910
   2672, 186.739453
   2680, 186.525488
   2688, 186.735254
   2696, 186.536816
   2704, 186.743945
   2712, 186.551074
   2720, 186.726660
   2728, 186.548633
   2736, 186.737402
   2744, 186.531934
   2752, 186.736230
   2760, 186.548535
   2768, 186.725098
   2776, 186.517480
   2784, 186.717480
   2792, 186.500488
   2800, 186.740820
   2808, 186.528809
   2816, 186.741113
   2824, 186.532422
   2832, 186.732812
   2840, 186.498437
   2848, 186.731348
   2856, 186.530469
   2864, 186.746875
   2872, 186.532129
   2880, 186.735254
   2888, 186.533691
   2896, 186.712891
   2904, 186.538965
   2912, 186.740137
   2920, 186.521777
   2928, 186.732422
   2936, 186.530762
   2944, 186.727246
   2952, 186.541113
   2960, 186.768164
   2968, 186.542773
   2976, 186.745703
   2984, 186.557617
   2992, 186.740039
   3000, 186.515332
   3008, 186.727441
   3016, 186.537012
   3024, 186.733008
   3032, 186.536914
   3040, 186.747461
   3048, 186.531543
   3056, 186.735645
   3064, 186.531250
   3072, 186.757227
   3080, 186.505957
   3088, 186.736523
   3096, 186.543164
   3104, 186.696973
   3112, 186.530176
   3120, 186.730273
   3128, 186.540723
   3136, 186.740723
   3144, 186.527246
   3152, 186.735938
   3160, 186.521777
   3168, 186.746582
   3176, 186.529199
   3184, 186.735645
   3192, 186.524414
   3200, 186.747461
   3208, 186.516406
   3216, 186.740137
   3224, 186.545020
   3232, 186.725000
   3240, 186.543848
   3248, 186.761035
   3256, 186.542383
   3264, 186.731445
   3272, 186.546289
   3280, 186.731055
   3288, 186.517773
   3296, 186.737012
   3304, 186.537695
   3312, 186.720703
   3320, 186.528027
   3328, 186.739844
   3336, 186.527051
   3344, 186.741992
   3352, 186.539160
   3360, 186.737500
   3368, 186.512695
   3376, 186.761719
   3384, 186.558203
   3392, 186.732812
   3400, 186.537793
   3408, 186.759277
   3416, 186.554004
   3424, 186.722754
   3432, 186.545703
   3440, 186.737305
   3448, 186.548926
   3456, 186.736719
   3464, 186.550586
   3472, 186.739258
   3480, 186.537695
   3488, 186.752441
   3496, 186.547363
   3504, 186.760352
   3512, 186.552832
   3520, 186.744727
   3528, 186.547266
   3536, 186.742383
   3544, 186.525879
   3552, 186.747070
   3560, 186.539746
   3568, 186.734863
   3576, 186.540625
   3584, 186.744727
   3592, 186.554688
   3600, 186.741602
   3608, 186.539551
   3616, 186.754395
   3624, 186.545801
   3632, 186.722168
   3640, 186.582227
   3648, 186.753516
   3656, 186.551660
   3664, 186.740430
   3672, 186.548145
   3680, 186.754102
   3688, 186.517578
   3696, 186.735449
   3704, 186.539551
   3712, 186.738965
   3720, 186.553906
   3728, 186.739453
   3736, 186.547949
   3744, 186.770312
   3752, 186.538477
   3760, 186.741797
   3768, 186.549707
   3776, 186.750977
   3784, 186.537305
   3792, 186.698730
   3800, 186.533984
   3808, 186.744141
   3816, 186.534375
   3824, 186.749609
   3832, 186.550391
   3840, 186.766211
   3848, 186.537012
   3856, 186.752734
   3864, 186.554199
   3872, 186.746582
   3880, 186.555078
   3888, 186.768555
   3896, 186.520898
   3904, 186.753516
   3912, 186.553223
   3920, 186.757910
   3928, 186.538184
   3936, 186.726562
   3944, 186.534863
   3952, 186.711133
   3960, 186.560840
   3968, 186.752344
   3976, 186.545605
   3984, 186.749902
   3992, 186.535352
   4000, 186.732422
   4008, 186.536621
   4016, 186.741699
   4024, 186.542676
   4032, 186.738086
   4040, 186.552930
   4048, 186.742578
   4056, 186.497363
   4064, 186.755469
   4072, 186.549609
   4080, 186.730371
   4088, 186.528223
   4096, 186.743848
   4104, 186.531250
   4112, 186.689355
   4120, 186.537012
   4128, 186.739648
   4136, 186.516504
   4144, 186.737695
   4152, 186.540820
   4160, 186.715137
   4168, 186.558398
   4176, 186.735156
   4184, 186.547070
   4192, 186.746094
   4200, 186.547559
   4208, 186.751074
   4216, 186.523145
   4224, 186.741992
   4232, 186.555176
   4240, 186.752344
   4248, 186.535645
   4256, 186.747266
   4264, 186.538184
   4272, 186.719922
   4280, 186.544531
   4288, 186.751563
   4296, 186.543262
   4304, 186.731055
   4312, 186.548730
   4320, 186.719531
   4328, 186.534473
   4336, 186.744043
   4344, 186.543945
   4352, 186.753223
   4360, 186.556055
   4368, 186.727441
   4376, 186.517383
   4384, 186.752051
   4392, 186.552344
   4400, 186.744336
   4408, 186.566211
   4416, 186.735156
   4424, 186.520801
   4432, 186.741504
   4440, 186.536035
   4448, 186.738086
   4456, 186.539355
   4464, 186.748145
   4472, 186.561328
   4480, 186.751758
   4488, 186.543750
   4496, 186.737988
   4504, 186.544531
   4512, 186.750195
   4520, 186.542188
   4528, 186.738672
   4536, 186.533203
   4544, 186.737793
   4552, 186.545996
   4560, 186.730566
   4568, 186.531738
   4576, 186.727344
   4584, 186.491992
   4592, 186.745020
   4600, 186.513184
   4608, 186.716309
   4616, 186.531543
   4624, 186.725879
   4632, 186.531543
   4640, 186.694434
   4648, 186.531348
   4656, 186.716895
   4664, 186.526465
   4672, 186.731348
   4680, 186.523047
   4688, 186.712793
   4696, 186.550879
   4704, 186.740430
   4712, 186.533301
   4720, 186.736914
   4728, 186.541602
   4736, 186.728320
   4744, 186.523242
   4752, 186.743457
   4760, 186.541309
   4768, 186.750293
   4776, 186.531348
   4784, 186.736230
   4792, 186.548633
   4800, 186.734082
   4808, 186.543164
   4816, 186.725879
   4824, 186.549805
   4832, 186.756250
   4840, 186.547754
   4848, 186.729199
   4856, 186.576172
   4864, 186.755469
   4872, 186.546973
   4880, 186.748926
   4888, 186.543555
   4896, 186.741504
   4904, 186.497363
   4912, 186.741992
   4920, 186.537988
   4928, 186.738086
   4936, 186.544629
   4944, 186.754395
   4952, 186.537012
   4960, 186.743555
   4968, 186.556738
   4976, 186.733496
   4984, 186.534766
