Assuming page size is 4 KB
8
8

Global4: Measuring L2 TLB page size using 2 MB stride
  offset (bytes), latency (clocks)
  -8192, 197.067031
  -8064, 197.255723
  -7936, 197.079824
  -7808, 197.278398
  -7680, 197.066660
  -7552, 197.309258
  -7424, 197.496992
  -7296, 197.702422
  -7168, 197.503633
  -7040, 197.688359
  -6912, 197.501504
  -6784, 197.700469
  -6656, 197.502988
  -6528, 197.704434
  -6400, 197.494824
  -6272, 197.704648
  -6144, 197.496172
  -6016, 197.701367
  -5888, 197.501113
  -5760, 197.698086
  -5632, 197.491895
  -5504, 197.689258
  -5376, 197.496152
  -5248, 197.696855
  -5120, 197.500098
  -4992, 197.704473
  -4864, 197.495410
  -4736, 197.691914
  -4608, 197.502852
  -4480, 197.700918
  -4352, 197.488496
  -4224, 197.692578
  -4096, 197.512520
  -3968, 197.690020
  -3840, 197.498164
  -3712, 197.703086
  -3584, 197.496934
  -3456, 197.695293
  -3328, 197.489961
  -3200, 197.687520
  -3072, 197.495937
  -2944, 197.686191
  -2816, 197.492734
  -2688, 197.691152
  -2560, 197.491387
  -2432, 197.703164
  -2304, 197.485957
  -2176, 197.693164
  -2048, 197.481426
  -1920, 197.690547
  -1792, 197.481309
  -1664, 197.683398
  -1536, 197.500879
  -1408, 197.699414
  -1280, 197.501523
  -1152, 197.690430
  -1024, 197.497715
  -896, 197.705605
  -768, 197.504277
  -640, 197.706680
  -512, 197.484531
  -384, 197.697715
  -256, 197.487090
  -128, 197.691719
  0, 197.498711
  128, 197.683828
  256, 197.485488
  384, 197.687559
  512, 197.480527
  640, 197.684863
  768, 197.490801
  896, 197.697305
  1024, 197.493027
  1152, 197.693848
  1280, 197.485781
  1408, 197.672285
  1536, 197.496875
  1664, 197.693340
  1792, 197.494570
  1920, 197.681172
  2048, 197.487031
  2176, 197.690762
  2304, 197.501602
  2432, 197.692422
  2560, 197.495703
  2688, 197.686602
  2816, 197.496250
  2944, 197.688496
  3072, 197.490176
  3200, 197.682070
  3328, 197.489023
  3456, 197.671172
  3584, 197.484941
  3712, 197.689746
  3840, 197.479473
  3968, 197.688516
  4096, 197.487539
  4224, 197.692617
  4352, 197.492539
  4480, 197.686055
  4608, 197.501484
  4736, 197.687832
  4864, 197.499414
  4992, 197.683828
  5120, 197.480664
  5248, 197.689609
  5376, 197.497305
  5504, 197.714063
  5632, 197.482949
  5760, 197.696875
  5888, 197.495137
  6016, 197.700371
  6144, 197.505273
  6272, 197.699648
  6400, 197.506758
  6528, 197.696113
  6656, 197.496230
  6784, 197.712070
  6912, 197.493965
  7040, 197.697754
  7168, 197.485371
  7296, 197.689160
  7424, 197.498965
  7552, 197.702070
  7680, 197.494570
  7808, 197.678945
  7936, 197.500176
  8064, 197.700801
  8192, 197.503262
  8320, 197.698633
  8448, 197.501680
  8576, 197.700977
  8704, 197.486914
  8832, 197.688965
  8960, 197.501738
  9088, 197.705781
  9216, 197.504473
  9344, 197.693809
  9472, 197.488105
  9600, 197.699023
  9728, 197.501875
  9856, 197.708516
  9984, 197.507168
  10112, 197.702500
  10240, 197.490664
  10368, 197.693086
  10496, 197.516719
  10624, 197.702363
  10752, 197.508613
  10880, 197.704668
  11008, 197.506035
  11136, 197.710117
  11264, 197.491445
  11392, 197.708438
  11520, 197.498437
  11648, 197.700762
  11776, 197.518496
  11904, 197.699883
  12032, 197.508652
  12160, 360287970105951.250000
  12288, 197.504473
  16384, 197.703496
  20480, 197.501133
  24576, 197.694238
  28672, 197.498496
  32768, 197.698184
  36864, 197.487305
  40960, 197.692266
  45056, 197.504355
  49152, 197.692109
  53248, 197.501250
  57344, 197.703691
  61440, 197.499453
  65536, 197.690273
  69632, 197.494805
  73728, 197.698613
  77824, 197.482812
  81920, 197.698887
  86016, 197.502773
  90112, 197.689453
  94208, 197.500254
  98304, 197.688574
  102400, 197.498477
  106496, 197.683125
  110592, 197.507402
  114688, 197.695645
  118784, 197.496914
  122880, 197.716094
  126976, 197.507051
  131072, 197.706758
  135168, 197.495117
  139264, 197.704648
  143360, 197.493496
  147456, 197.696934
  151552, 197.512461
  155648, 197.698945
  159744, 197.497168
  163840, 197.694180
  167936, 197.494922
  172032, 197.701855
  176128, 197.480977
  180224, 197.700547
  184320, 197.487949
  188416, 197.698906
  192512, 197.500840
  196608, 197.694375
  200704, 197.493594
  204800, 197.700098
  208896, 197.491309
  212992, 197.693008
  217088, 197.492695
  221184, 197.701934
  225280, 197.497148
  229376, 197.692949
  233472, 197.485508
  237568, 197.701934
  241664, 197.484785
  245760, 197.690430
  249856, 197.494141
  253952, 197.688770
  258048, 197.488418
  262144, 197.684941
  266240, 197.484531
  270336, 197.674102
  274432, 197.487598
  278528, 197.695547
  282624, 197.479922
  286720, 197.705293
  290816, 197.488945
  294912, 197.696523
  299008, 197.495410
  303104, 197.689492
  307200, 197.497500
  311296, 197.694023
  315392, 197.501035
  319488, 197.692637
  323584, 197.496523
  327680, 197.709551
  331776, 197.492617
  335872, 197.701895
  339968, 197.482520
  344064, 197.697754
  348160, 197.505605
  352256, 197.701543
  356352, 197.503340
  360448, 197.699023
  364544, 197.490527
  368640, 197.697969
  372736, 197.501523
  376832, 197.696094
  380928, 197.486484
  385024, 197.692148
  389120, 197.490723
  393216, 197.695352
  397312, 197.512754
  401408, 197.695957
  405504, 197.512734
  409600, 197.693203
  413696, 197.488223
  417792, 197.702129
  421888, 197.495957
  425984, 197.703770
  430080, 197.495723
  434176, 197.700430
  438272, 197.490254
  442368, 197.691523
  446464, 197.494609
  450560, 197.701953
  454656, 197.505918
  458752, 197.705898
  462848, 197.503711
  466944, 197.709297
  471040, 197.496250
  475136, 197.701133
  479232, 197.512754
  483328, 197.710410
  487424, 197.498594
  491520, 197.699414
  495616, 197.504980
  499712, 197.693945
  503808, 197.502930
  507904, 197.700605
  512000, 197.502832
  516096, 197.705156
  520192, 197.484102
  524288, 197.703398
  528384, 197.500176
  532480, 197.712930
  536576, 197.495723
  540672, 197.693965
  544768, 197.495234
  548864, 197.706523
  552960, 197.499160
  557056, 197.691230
  561152, 197.506992
