Assuming page size is 4 KB
8
8

Global4: Measuring L2 TLB page size using 2 MB stride
  offset (bytes), latency (clocks)
  -2048, 197.096055
  -1920, 197.353652
  -1792, 197.106895
  -1664, 197.357656
  -1536, 197.173398
  -1408, 197.273711
  -1280, 197.158711
  -1152, 197.231406
  -1024, 197.165312
  -896, 197.175059
  -768, 197.164688
  -640, 197.617109
  -512, 197.578594
  -384, 197.605039
  -256, 197.600195
  -128, 197.790527
  0, 197.418887
  128, 197.782949
  256, 197.420918
  384, 197.792930
  512, 197.439902
  640, 197.726797
  768, 197.586855
  896, 197.617012
  1024, 197.579570
  1152, 197.610020
  1280, 197.586953
  1408, 197.746875
  1536, 197.437559
  1664, 197.802129
  1792, 197.417441
  1920, 197.782090
  2048, 197.450156
  2176, 197.753848
  2304, 197.599238
  2432, 197.624004
  2560, 197.596953
  2688, 197.621348
  2816, 197.607480
  2944, 197.764375
  3072, 197.431719
  3200, 197.794766
  3328, 197.408320
  3456, 197.785664
  3584, 197.441055
  3712, 197.739258
  3840, 197.586133
  3968, 197.597246
  4096, 197.599375
  4224, 197.605273
  4352, 197.576973
  4480, 197.750566
  4608, 197.408828
  4736, 197.787305
  4864, 197.396797
  4992, 197.774551
  5120, 197.433906
  5248, 197.731836
  5376, 197.571367
  5504, 197.610723
  5632, 197.591641
  5760, 197.615234
  5888, 197.597773
  6016, 197.761387
  6144, 197.415312
  6272, 197.783027
  6400, 197.405859
  6528, 197.787480
  6656, 197.411211
  6784, 197.779570
  6912, 197.581738
  7040, 197.607109
  7168, 197.586348
  7296, 197.604355
  7424, 197.579062
  7552, 197.705723
  7680, 197.452793
  7808, 197.784355
  7936, 197.398320
  8064, 197.785762
  8192, 197.405527
  8320, 197.789531
  8448, 197.580430
  8576, 197.589453
  8704, 197.572832
  8832, 197.582324
  8960, 197.574355
  9088, 197.692617
  9216, 197.482266
  9344, 197.782598
  9472, 197.397070
  9600, 197.784902
  9728, 197.408359
  9856, 197.785723
  9984, 197.571348
  10112, 197.590410
  10240, 197.578691
  10368, 197.610020
  10496, 197.587832
  10624, 197.621172
  10752, 197.532656
  10880, 197.770156
  11008, 197.404297
  11136, 197.781035
  11264, 197.394883
  11392, 197.789648
  11520, 197.558750
  11648, 197.624492
  11776, 197.571895
  11904, 197.599141
  12032, 197.572402
  12160, 197.599551
  12288, 197.576895
  16384, 197.783809
  20480, 197.395898
  24576, 197.776426
  28672, 197.401895
  32768, 197.786758
  36864, 197.476973
  40960, 197.685742
  45056, 197.558223
  49152, 197.583398
  53248, 197.571055
  57344, 197.594063
  61440, 197.573438
  65536, 197.763262
  69632, 197.393945
  73728, 197.776289
  77824, 197.391895
  81920, 197.749453
  86016, 197.397383
  90112, 197.789824
  94208, 197.574355
  98304, 197.585078
  102400, 197.577148
  106496, 197.588418
  110592, 197.566895
  114688, 197.655410
  118784, 197.495703
  122880, 197.772637
  126976, 197.389941
  131072, 197.752520
  135168, 197.392852
  139264, 197.767480
  143360, 197.572910
  147456, 197.594336
  151552, 197.568105
  155648, 197.593789
  159744, 197.562187
  163840, 197.611777
  167936, 197.543887
  172032, 197.773730
  176128, 197.384980
  180224, 197.758223
  184320, 197.387148
  188416, 197.761934
  192512, 197.494570
  196608, 197.650840
  200704, 197.563379
  204800, 197.592734
  208896, 197.574727
  212992, 197.584961
  217088, 197.550293
  221184, 197.764355
  225280, 197.382285
  229376, 197.761230
  233472, 197.389668
  237568, 197.762656
  241664, 197.415840
  245760, 197.729180
  249856, 197.571367
  253952, 197.599922
  258048, 197.577793
  262144, 197.593770
  266240, 197.579531
  270336, 197.691641
  274432, 197.479219
  278528, 197.768418
  282624, 197.388125
  286720, 197.756270
  290816, 197.388086
  294912, 197.759746
  299008, 197.573320
  303104, 197.603887
  307200, 197.565957
  311296, 197.594180
  315392, 197.587363
  319488, 197.605020
  323584, 197.566875
  327680, 197.759609
  331776, 197.387598
  335872, 197.762402
  339968, 197.382852
  344064, 197.764922
  348160, 197.447363
  352256, 197.713906
