Assuming page size is 4 KB

Global5: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
    8192, 186.383594
    9216, 186.685937
   10240, 186.329688
   11264, 186.453516
   12288, 186.093750
   13312, 186.240234
   14336, 186.023047
   15360, 186.112500
   16384, 185.943359
   17408, 197.214844
   18432, 197.070312
   19456, 197.317187
   20480, 197.065625
   21504, 197.242969
   22528, 197.009766
   23552, 197.317187
   24576, 197.133594
   25600, 197.239844
   26624, 197.092969
   27648, 197.310547
   28672, 197.157813
   29696, 197.428125
   30720, 197.171875
   31744, 197.300000
   32768, 197.017578
   33792, 197.257031
   34816, 197.117969
   35840, 197.266406
   36864, 197.116016
   37888, 197.221094
   38912, 197.032422
   39936, 197.638672
   40960, 197.489062
   41984, 197.683594
   43008, 197.455078
   44032, 197.653125
   45056, 197.481641
   46080, 197.712891
   47104, 197.509766
   48128, 197.724219
   49152, 197.496094
   50176, 197.673438
   51200, 197.454297
   52224, 197.630859
   53248, 197.462109
   54272, 197.697656
   55296, 197.526563
   56320, 197.731250
   57344, 197.526172
   58368, 197.748437
   59392, 197.551172
   60416, 197.757031
   61440, 197.502734
   62464, 197.714453
   63488, 197.491016
   64512, 197.677344
   65536, 197.477344
   66560, 197.757031
   67584, 197.535937
   68608, 197.741406
   69632, 197.537891
   70656, 197.718359
   71680, 197.512109
   72704, 197.681641
   73728, 197.500781
   74752, 197.721484
   75776, 197.525781
   76800, 197.743359
   77824, 197.526172
   78848, 197.682813
   79872, 197.411719
   80896, 197.679688
   81920, 197.461719
   82944, 197.657031
   83968, 197.487891
   84992, 197.696875
   86016, 197.532813
   87040, 197.692578
   88064, 197.507422
   89088, 197.662500
   90112, 197.508594
   91136, 197.706250
   92160, 197.476562
   93184, 197.687891
   94208, 197.482812
   95232, 197.698047
   96256, 197.504297
   97280, 197.723828
   98304, 197.497266
   99328, 197.713672
   100352, 197.480469
   101376, 197.641797
   102400, 197.487891
   103424, 197.667578
   104448, 197.513281
   105472, 197.733984
   106496, 197.535547
   107520, 197.644531
   108544, 197.483594
   109568, 197.711328
   110592, 197.471875
   111616, 197.717578
   112640, 197.472656
   113664, 197.715625
   114688, 197.518750
   115712, 197.728906
   116736, 197.495313
   117760, 197.648828
   118784, 197.464063
   119808, 197.696484
   120832, 197.472266
   121856, 197.737109
   122880, 197.529687
   123904, 197.745703
   124928, 197.502734
   125952, 197.700781
   126976, 197.517188
   128000, 197.656250
   129024, 197.484766
   130048, 197.664453
   131072, 197.440625
   132096, 197.724219
   133120, 197.531641
   134144, 197.634766
   135168, 197.491406
   136192, 197.673828
   137216, 197.477734
   138240, 197.643750
   139264, 197.493359
   140288, 197.673047
   141312, 197.508984
   142336, 197.754297
   143360, 197.509375
   144384, 197.603906
   145408, 197.423828
   146432, 197.687891
   147456, 197.463281
   148480, 197.706250
   149504, 197.498047
   150528, 197.694141
   151552, 197.491016
   152576, 197.677734
   153600, 197.424219
   154624, 197.682422
   155648, 197.487109
   156672, 197.692187
   157696, 197.504297
   158720, 197.670312
   159744, 197.519922
   160768, 197.696094
   161792, 197.520703
   162816, 197.722266
   163840, 197.507812
   164864, 197.691797
   165888, 197.487891
   166912, 197.686719
   167936, 197.493359
   168960, 197.673828
   169984, 197.521875
   171008, 197.697266
   172032, 197.493359
   173056, 197.691016
   174080, 197.490234
   175104, 197.686719
   176128, 197.512500
   177152, 197.696094
   178176, 197.485938
   179200, 197.723047
   180224, 197.485547
   181248, 197.747656
   182272, 197.483984
   183296, 197.678125
   184320, 197.496094
   185344, 197.710547
   186368, 197.558203
   187392, 197.677344
   188416, 197.507422
   189440, 197.725781
   190464, 197.545312
   191488, 197.656250
   192512, 197.494531
   193536, 197.714844
   194560, 197.515625
   195584, 197.712500
   196608, 197.482422
   197632, 197.705859
   198656, 197.560547
   199680, 197.703906
   200704, 197.497656
   201728, 197.665625
   202752, 197.452734
   203776, 197.681250
   204800, 197.536328
   205824, 197.699219
   206848, 197.495703
   207872, 197.721094
   208896, 197.522266
   209920, 197.716016
   210944, 197.487891
   211968, 197.703906
   212992, 197.481250
   214016, 197.628125
   215040, 197.521484
   216064, 197.683984
   217088, 197.501563
   218112, 197.686719
   219136, 197.517188
   220160, 197.625391
   221184, 197.510938
   222208, 197.710938
   223232, 197.498828
   224256, 197.705469
   225280, 197.475781
   226304, 197.666797
   227328, 197.497656
   228352, 197.705078
   229376, 197.522266
   230400, 197.731250
