Assuming page size is 4 KB
8
8

Global5: Global memory latency for 128 KB stride.
   Array size (KB), latency (clocks)
    1024, 186.227344
    1152, 186.051562
    1280, 185.957812
    1408, 186.288672
    1536, 186.137891
    1664, 187.116406
    1792, 186.107812
    1920, 186.246875
    2048, 185.978125
    2176, 197.060547
    2304, 196.960156
    2432, 197.366797
    2560, 197.270312
    2688, 197.066016
    2816, 196.966406
    2944, 197.202344
    3072, 197.067578
    3200, 197.262891
    3328, 197.511719
    3456, 197.172266
    3584, 196.950000
    3712, 197.093750
    3840, 196.926953
    3968, 197.573438
    4096, 197.020312
    4224, 197.240234
    4352, 196.998437
    4480, 197.151953
    4608, 196.950781
    4736, 197.338281
    4864, 196.940625
    4992, 197.163672
    5120, 196.997266
    5248, 197.214063
    5376, 196.975781
    5504, 197.163281
    5632, 196.944531
    5760, 197.098437
    5888, 197.693750
    6016, 197.194531
    6144, 196.987109
    6272, 197.201172
    6400, 196.962500
    6528, 197.286719
    6656, 196.982031
    6784, 197.214063
    6912, 196.969141
    7040, 198.071094
    7168, 196.926953
    7296, 197.102734
    7424, 196.928906
    7552, 198.091797
    7680, 196.978516
    7808, 197.193750
    7936, 196.986719
    8064, 197.719531
    8192, 196.954688
    8320, 197.100000
    8448, 196.936328
    8576, 197.187891
    8704, 196.960156
    8832, 197.158594
    8960, 197.631641
    9088, 197.159375
    9216, 196.947656
    9344, 197.104688
    9472, 196.950000
    9600, 197.164844
    9728, 196.953516
    9856, 198.092187
    9984, 196.961719
   10112, 197.132812
   10240, 196.944922
   10368, 197.537109
   10496, 197.365234
   10624, 197.564844
   10752, 197.344922
   10880, 197.548828
   11008, 197.364844
   11136, 197.596094
   11264, 197.393750
   11392, 197.582031
   11520, 197.866406
   11648, 197.570703
   11776, 197.364844
   11904, 198.413281
   12032, 197.342969
   12160, 197.569531
   12288, 198.248828
   12416, 197.615625
   12544, 197.383203
   12672, 198.376563
   12800, 197.365625
   12928, 197.560937
   13056, 197.636328
   13184, 197.584375
   13312, 197.365234
   13440, 197.607031
   13568, 197.387891
   13696, 197.556250
   13824, 197.353516
   13952, 197.553516
   14080, 198.110938
   14208, 197.575781
   14336, 197.382422
