Assuming page size is 64 KB
8
8

Global5: Global memory latency for 2048 KB stride.
   Array size (KB), latency (clocks)
   16384, 186.130469
   18432, 186.204688
   20480, 186.099219
   22528, 186.450391
   24576, 186.143359
   26624, 186.281641
   28672, 186.132031
   30720, 186.265625
   32768, 186.087500
   34816, 197.364844
   36864, 197.105859
   38912, 197.275781
   40960, 197.078906
   43008, 197.321484
   45056, 197.104688
   47104, 197.733984
   49152, 197.467969
   51200, 197.716016
   53248, 197.521875
   55296, 197.782422
   57344, 197.504687
   59392, 197.662109
   61440, 197.524609
   63488, 197.722656
   65536, 197.531641
   67584, 197.716797
   69632, 197.512891
   71680, 197.755469
   73728, 197.511328
   75776, 197.689844
   77824, 197.557031
   79872, 197.715234
   81920, 197.532422
   83968, 197.774219
   86016, 197.494922
   88064, 197.685547
   90112, 197.524219
   92160, 197.652734
   94208, 197.494531
   96256, 197.757812
   98304, 197.528516
   100352, 197.710156
   102400, 197.500781
   104448, 197.739062
   106496, 197.516406
   108544, 197.717187
   110592, 197.541016
   112640, 197.697656
   114688, 197.504687
   116736, 197.711719
   118784, 197.475781
   120832, 197.720703
   122880, 197.509766
   124928, 197.738281
   126976, 197.529687
   129024, 197.715625
   131072, 197.500781
   133120, 197.711719
   135168, 197.439844
   137216, 197.746875
   139264, 197.486328
   141312, 197.698828
   143360, 197.528125
   145408, 197.742188
   147456, 197.496094
   149504, 197.707812
   151552, 197.502344
   153600, 197.709766
   155648, 197.495703
   157696, 197.643750
   159744, 197.410937
   161792, 197.676172
   163840, 197.444141
   165888, 197.731641
   167936, 197.530859
   169984, 197.716797
   172032, 197.497266
   174080, 197.706641
   176128, 197.503516
   178176, 197.658203
   180224, 197.501563
   182272, 197.740234
   184320, 197.534766
   186368, 197.678516
   188416, 197.508594
   190464, 197.742188
   192512, 197.569531
   194560, 197.727734
   196608, 197.514453
   198656, 197.723828
   200704, 197.485938
   202752, 197.687891
   204800, 197.501953
   206848, 197.646094
   208896, 197.499219
   210944, 197.671875
   212992, 197.497656
   215040, 197.691797
   217088, 197.528516
   219136, 197.728125
   221184, 197.534375
   223232, 197.730469
   225280, 197.519141
   227328, 197.699609
   229376, 197.541016
   231424, 197.712500
   233472, 197.496094
   235520, 197.719141
   237568, 197.496484
   239616, 197.687500
   241664, 197.453125
   243712, 197.700391
   245760, 197.505078
   247808, 197.699609
   249856, 197.533203
   251904, 197.700391
   253952, 197.501172
   256000, 197.703516
   258048, 197.500781
   260096, 197.706250
   262144, 197.499219
   264192, 197.676172
   266240, 197.488672
   268288, 197.659766
   270336, 197.501172
   272384, 197.717578
   274432, 197.503125
   276480, 197.702344
   278528, 197.534766
   280576, 197.720703
   282624, 197.546484
   284672, 197.719141
   286720, 197.526172
   288768, 197.725781
   290816, 197.499609
   292864, 197.730859
   294912, 197.539062
   296960, 197.644141
   299008, 197.471094
   301056, 197.675000
   303104, 197.494141
   305152, 197.696484
   307200, 197.520312
   309248, 197.726172
   311296, 197.517578
   313344, 197.708594
   315392, 197.523828
   317440, 197.664062
   319488, 197.475391
   321536, 197.714063
   323584, 197.493359
   325632, 197.694922
   327680, 197.527344
   329728, 197.718750
   331776, 197.474219
   333824, 197.701562
   335872, 197.516016
   337920, 197.695312
   339968, 197.513672
   342016, 197.711328
   344064, 197.481250
   346112, 197.688672
   348160, 197.508203
   350208, 197.714063
   352256, 197.529687
   354304, 197.731250
   356352, 197.477734
   358400, 197.767188
   360448, 197.485547
   362496, 197.710938
   364544, 197.468750
   366592, 197.711719
   368640, 197.492578
   370688, 197.686328
   372736, 197.515625
   374784, 197.686328
   376832, 197.543359
   378880, 197.668359
   380928, 197.502734
   382976, 197.683203
   385024, 197.486328
   387072, 197.716797
   389120, 197.485938
   391168, 197.680078
   393216, 197.509766
   395264, 197.705078
   397312, 197.503125
   399360, 197.671484
   401408, 197.475391
   403456, 197.712109
   405504, 197.495313
   407552, 197.657813
   409600, 197.493359
   411648, 197.701953
   413696, 197.412500
   415744, 197.710156
   417792, 197.501953
