Assuming page size is 4 KB

Global5: Global memory latency for 256 KB stride.
   Array size (KB), latency (clocks)
    4096, 186.136719
    4352, 197.364844
    4608, 197.110156
    4864, 197.248437
    5120, 197.080469
    5376, 197.240625
    5632, 197.133984
    5888, 197.336328
    6144, 197.094141
    6400, 197.271094
    6656, 197.104688
    6912, 197.352734
    7168, 197.009766
    7424, 197.356250
    7680, 197.108203
    7936, 197.264453
    8192, 197.150781
    8448, 197.311328
    8704, 197.134375
    8960, 197.270703
    9216, 197.095703
    9472, 197.304688
    9728, 197.106641
    9984, 197.332031
   10240, 197.108203
   10496, 197.250391
   10752, 197.021484
   11008, 197.351562
   11264, 197.126172
   11520, 197.229297
   11776, 197.097266
   12032, 197.304297
   12288, 197.010547
   12544, 197.284375
   12800, 197.111328
   13056, 197.256250
   13312, 197.078906
   13568, 197.282813
   13824, 197.066016
   14080, 197.260156
   14336, 197.097656
   14592, 197.283594
   14848, 197.086328
   15104, 197.718750
   15360, 197.495313
   15616, 197.656641
   15872, 197.523438
   16128, 197.718359
   16384, 197.464844
   16640, 197.700000
   16896, 197.500000
   17152, 197.703516
   17408, 197.425000
   17664, 197.696484
   17920, 197.519531
   18176, 197.730859
   18432, 197.484766
   18688, 197.734766
   18944, 197.513672
   19200, 197.710938
   19456, 197.520312
   19712, 197.725391
   19968, 197.500000
   20224, 197.685547
   20480, 197.535547
   20736, 197.688281
   20992, 197.489844
   21248, 197.679688
   21504, 197.482031
   21760, 197.685937
   22016, 197.499219
   22272, 197.707031
   22528, 197.524219
   22784, 197.695312
   23040, 197.530078
   23296, 197.680859
   23552, 197.474219
   23808, 197.698828
   24064, 197.505469
   24320, 197.714453
   24576, 197.501953
   24832, 197.762891
   25088, 197.509766
   25344, 197.655078
   25600, 197.498437
   25856, 197.727344
   26112, 197.495313
   26368, 197.689844
   26624, 197.547656
   26880, 197.705859
   27136, 197.520703
   27392, 197.695312
   27648, 197.508594
   27904, 197.721094
   28160, 197.541797
   28416, 197.709375
   28672, 197.541797
   28928, 197.693359
   29184, 197.544141
   29440, 197.728125
   29696, 197.523047
   29952, 197.696875
   30208, 197.489453
   30464, 197.727734
   30720, 197.535156
   30976, 197.716406
   31232, 197.549609
   31488, 197.676172
   31744, 197.476562
   32000, 197.689063
   32256, 197.490234
   32512, 197.693750
   32768, 197.505078
   33024, 197.734375
   33280, 197.489453
   33536, 197.658984
   33792, 197.485156
   34048, 197.703906
   34304, 197.434375
   34560, 197.693359
   34816, 197.470703
   35072, 197.683203
   35328, 197.481250
   35584, 197.711328
   35840, 197.484375
   36096, 197.685547
   36352, 197.485938
   36608, 197.694531
   36864, 197.473047
   37120, 197.699219
   37376, 197.494531
   37632, 197.703516
   37888, 197.491406
   38144, 197.657422
   38400, 197.488281
   38656, 197.697656
   38912, 197.512891
   39168, 197.703516
   39424, 197.485156
   39680, 197.673438
   39936, 197.466797
   40192, 197.708203
   40448, 197.455078
   40704, 197.724609
   40960, 197.495313
   41216, 197.696484
   41472, 197.514062
   41728, 197.664453
   41984, 197.526172
   42240, 197.687109
   42496, 197.486719
   42752, 197.683984
   43008, 197.497266
   43264, 197.704688
   43520, 197.497656
   43776, 197.717187
   44032, 197.432031
   44288, 197.719141
   44544, 197.519531
   44800, 197.695703
   45056, 197.508984
   45312, 197.662500
