Assuming page size is 4 KB

Global5: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
    4096, 187.124219
    4608, 186.074219
    5120, 185.989062
    5632, 186.302734
    6144, 186.017188
    6656, 186.399609
    7168, 185.985938
    7680, 186.255859
    8192, 186.003906
    8704, 197.241016
    9216, 197.074219
    9728, 197.215234
   10240, 197.631250
   10752, 197.207422
   11264, 197.094531
   11776, 197.258984
   12288, 197.066797
   12800, 197.205859
   13312, 197.762891
   13824, 197.214063
   14336, 197.303125
   14848, 197.203906
   15360, 196.977734
   15872, 197.229688
   16384, 196.953125
   16896, 197.646484
   17408, 196.968750
   17920, 197.216406
   18432, 196.985156
   18944, 197.144141
   19456, 197.193750
   19968, 197.141797
   20480, 197.445703
   20992, 197.141406
   21504, 197.195312
   22016, 197.151172
   22528, 196.994141
   23040, 197.787891
   23552, 197.425391
   24064, 197.697266
   24576, 197.401172
   25088, 197.640234
   25600, 197.416406
   26112, 197.598828
   26624, 197.552734
   27136, 197.578125
   27648, 197.458984
   28160, 197.585547
   28672, 197.400000
   29184, 197.588281
   29696, 197.408984
   30208, 197.585156
   30720, 197.442187
   31232, 197.606641
   31744, 197.400000
   32256, 198.043359
   32768, 197.400781
   33280, 197.600781
   33792, 197.387500
   34304, 197.626953
   34816, 197.382812
   35328, 197.578125
   35840, 197.389453
   36352, 197.753906
   36864, 197.920312
   37376, 197.596484
   37888, 197.425391
   38400, 197.602344
   38912, 198.400000
   39424, 197.645312
   39936, 197.494922
   40448, 197.623437
   40960, 197.404687
   41472, 197.595313
   41984, 197.405469
   42496, 197.611719
   43008, 198.318750
   43520, 197.611719
   44032, 197.414062
   44544, 197.675391
   45056, 197.978125
   45568, 197.799219
   46080, 197.419531
   46592, 197.786328
   47104, 197.585547
   47616, 197.678125
   48128, 197.667578
   48640, 197.928516
   49152, 197.909375
   49664, 197.920703
   50176, 197.453906
   50688, 197.612500
   51200, 197.428125
   51712, 198.491406
   52224, 197.376563
   52736, 197.598828
   53248, 197.405469
   53760, 197.611719
   54272, 197.391797
   54784, 197.605859
   55296, 197.423828
   55808, 197.973828
   56320, 197.390625
   56832, 197.586719
   57344, 197.405859
   57856, 197.591016
   58368, 197.416406
   58880, 197.705859
   59392, 197.385156
   59904, 197.618359
   60416, 197.850781
   60928, 198.405469
   61440, 197.395703
   61952, 197.600391
   62464, 197.433984
   62976, 197.613672
   63488, 197.393750
   64000, 197.607812
   64512, 198.310156
   65024, 197.566406
   65536, 197.382422
   66048, 198.469922
   66560, 197.393750
   67072, 197.931641
   67584, 197.412109
   68096, 197.590625
   68608, 197.410937
   69120, 197.590234
   69632, 197.402734
   70144, 197.585938
   70656, 197.385938
   71168, 197.895312
   71680, 197.424609
   72192, 197.620313
   72704, 197.396484
   73216, 197.634766
