Assuming page size is 64 KB
8
8

Global5: Global memory latency for 128 KB stride.
   Array size (KB), latency (clocks)
    1024, 186.075391
    1152, 185.955469
    1280, 186.335156
    1408, 186.338281
    1536, 186.102344
    1664, 186.230078
    1792, 185.941797
    1920, 186.239844
    2048, 186.121875
    2176, 197.201172
    2304, 196.884766
    2432, 197.205469
    2560, 197.067969
    2688, 197.276953
    2816, 197.183984
    2944, 197.282813
    3072, 197.067969
    3200, 197.242578
    3328, 196.995703
    3456, 197.206250
    3584, 197.024609
    3712, 197.112109
    3840, 197.114062
    3968, 197.325391
    4096, 197.082031
    4224, 197.319141
    4352, 197.162500
    4480, 197.278125
    4608, 197.075781
    4736, 197.224219
    4864, 196.965625
    4992, 197.214063
    5120, 197.064063
    5248, 197.276172
    5376, 197.106250
    5504, 197.289453
    5632, 197.075000
    5760, 197.209375
    5888, 197.023828
    6016, 197.270703
    6144, 197.086328
    6272, 197.265234
    6400, 197.110547
    6528, 197.275781
    6656, 197.002734
    6784, 197.313281
    6912, 197.056250
    7040, 197.289062
    7168, 197.038281
    7296, 197.268750
    7424, 196.996094
    7552, 197.269531
    7680, 197.079688
    7808, 197.251172
    7936, 197.019141
    8064, 197.282422
    8192, 197.058594
    8320, 197.223047
    8448, 197.004687
    8576, 197.316797
    8704, 197.069141
    8832, 197.273047
    8960, 197.098437
    9088, 197.272656
    9216, 197.097266
    9344, 197.181641
    9472, 197.044531
    9600, 197.276172
    9728, 197.077344
    9856, 197.296484
    9984, 197.118750
   10112, 197.306250
   10240, 197.083984
   10368, 197.263672
   10496, 197.018750
   10624, 197.638281
   10752, 197.517578
   10880, 197.717187
   11008, 197.565625
   11136, 197.726562
   11264, 197.501953
   11392, 197.708203
   11520, 197.541016
   11648, 197.715234
   11776, 197.505078
   11904, 197.664844
   12032, 197.500391
   12160, 197.648047
   12288, 197.559375
   12416, 197.730859
   12544, 197.582031
   12672, 197.725781
   12800, 197.541016
   12928, 197.679297
   13056, 197.475391
   13184, 197.716016
   13312, 197.530469
   13440, 197.733203
   13568, 197.493359
   13696, 197.632031
   13824, 197.531641
   13952, 197.700391
   14080, 197.533203
   14208, 197.700781
   14336, 197.517969
   14464, 197.704297
   14592, 197.496875
   14720, 197.717578
   14848, 197.511719
   14976, 197.687891
   15104, 197.524219
   15232, 197.703906
   15360, 197.504687
   15488, 197.689063
   15616, 197.524219
   15744, 197.711328
   15872, 197.515625
   16000, 197.747266
   16128, 197.544531
   16256, 197.700781
   16384, 197.530469
   16512, 197.687891
   16640, 197.448047
   16768, 197.695312
   16896, 197.493359
   17024, 197.717187
   17152, 197.562500
   17280, 197.755469
   17408, 197.507422
   17536, 197.689453
   17664, 197.524219
   17792, 197.684375
   17920, 197.551953
   18048, 197.716797
   18176, 197.491406
   18304, 197.681641
   18432, 197.556250
   18560, 197.698438
   18688, 197.475391
   18816, 197.702344
   18944, 197.494141
   19072, 197.688281
   19200, 197.468359
   19328, 197.679688
   19456, 197.498047
   19584, 197.730859
   19712, 197.560156
   19840, 197.749609
   19968, 197.517578
   20096, 197.696875
   20224, 197.471094
   20352, 197.696094
   20480, 197.493750
   20608, 197.748437
   20736, 197.530078
   20864, 197.725781
   20992, 197.530859
   21120, 197.673828
   21248, 197.469141
   21376, 197.651563
   21504, 197.502344
   21632, 197.686328
   21760, 197.496875
   21888, 197.675391
   22016, 197.505859
   22144, 197.725000
   22272, 197.539453
   22400, 197.742578
   22528, 197.514844
   22656, 197.725391
   22784, 197.513672
   22912, 197.685547
   23040, 197.486328
   23168, 197.731641
   23296, 197.491406
   23424, 197.735547
   23552, 197.556250
   23680, 197.695703
   23808, 197.535937
   23936, 197.732812
   24064, 197.526953
   24192, 197.687500
   24320, 197.508984
   24448, 197.733984
   24576, 197.550781
   24704, 197.694922
   24832, 197.496094
   24960, 197.693359
   25088, 197.531250
   25216, 197.716406
   25344, 197.476172
   25472, 197.671875
   25600, 197.519922
   25728, 197.705078
   25856, 197.521484
   25984, 197.708594
   26112, 197.512500
   26240, 197.722656
   26368, 197.493750
   26496, 197.717969
   26624, 197.467578
   26752, 197.730078
   26880, 197.543359
   27008, 197.721875
   27136, 197.505078
   27264, 197.703125
   27392, 197.509375
   27520, 197.683594
   27648, 197.455078
   27776, 197.714453
   27904, 197.516016
   28032, 197.715625
   28160, 197.511328
   28288, 197.747266
   28416, 197.520312
   28544, 197.702734
   28672, 197.518750
   28800, 197.723437
   28928, 197.540234
   29056, 197.819531
   29184, 197.507031
   29312, 197.693359
   29440, 197.498828
   29568, 197.678906
   29696, 197.512109
   29824, 197.667969
   29952, 197.507422
   30080, 197.710547
   30208, 197.575781
   30336, 197.736719
   30464, 197.514453
   30592, 197.699219
   30720, 197.530469
   30848, 197.719922
   30976, 197.517578
   31104, 197.691797
   31232, 197.500000
   31360, 197.705859
   31488, 197.474219
   31616, 197.689844
   31744, 197.508984
   31872, 197.776172
   32000, 197.519141
   32128, 197.712891
   32256, 197.531641
   32384, 197.677734
   32512, 197.489062
   32640, 197.726953
   32768, 197.494922
   32896, 197.714063
   33024, 197.461719
   33152, 197.744531
   33280, 197.533984
   33408, 197.723047
   33536, 197.477344
   33664, 197.689844
   33792, 197.412109
   33920, 197.702734
   34048, 197.516016
   34176, 197.707031
   34304, 197.421484
   34432, 197.683984
   34560, 197.470703
   34688, 197.696484
   34816, 197.554297
   34944, 197.767188
   35072, 197.631641
   35200, 197.898438
   35328, 197.839844
   35456, 198.265625
   35584, 198.020312
   35712, 198.326953
   35840, 198.167188
   35968, 198.439063
   36096, 198.297656
   36224, 198.551562
   36352, 198.426172
   36480, 198.658984
   36608, 198.505469
   36736, 198.914062
   36864, 198.680078
   36992, 198.951172
   37120, 198.850000
   37248, 199.167188
   37376, 199.076953
   37504, 199.389453
   37632, 199.257812
   37760, 199.619141
   37888, 199.394141
   38016, 199.678125
   38144, 199.514844
   38272, 199.912500
   38400, 199.682422
   38528, 199.957031
   38656, 199.748047
   38784, 200.060547
   38912, 199.860938
   39040, 200.112891
   39168, 200.081250
   39296, 200.401563
   39424, 200.349219
   39552, 200.721094
   39680, 200.442187
   39808, 200.682422
   39936, 200.623437
   40064, 200.796094
   40192, 200.690234
   40320, 201.001563
   40448, 200.845703
   40576, 201.007812
   40704, 200.902344
   40832, 201.385938
   40960, 201.269531
   41088, 201.473047
   41216, 201.251563
   41344, 201.543750
   41472, 201.671875
   41600, 201.829297
   41728, 201.635156
   41856, 201.889844
   41984, 201.724609
   42112, 202.062891
   42240, 201.921094
   42368, 202.225781
   42496, 202.023438
   42624, 202.277734
   42752, 202.129687
   42880, 202.566406
   43008, 202.363672
   43136, 202.741406
   43264, 202.425391
   43392, 202.791797
   43520, 202.773828
   43648, 203.025391
   43776, 202.792578
   43904, 203.046875
   44032, 202.957812
   44160, 203.158203
   44288, 203.132812
   44416, 203.403125
   44544, 203.167188
   44672, 203.508203
   44800, 203.355859
   44928, 203.759375
   45056, 203.500000
   45184, 203.825391
   45312, 203.646875
   45440, 203.919531
   45568, 203.848828
   45696, 204.289844
   45824, 204.409375
   45952, 204.552344
   46080, 204.046094
   46208, 204.489062
   46336, 204.379297
   46464, 204.545703
   46592, 204.446484
   46720, 204.788281
   46848, 204.715625
   46976, 204.896875
   47104, 204.673047
   47232, 204.943750
   47360, 204.737891
   47488, 205.074609
   47616, 204.926562
   47744, 205.210938
   47872, 205.102344
   48000, 205.745313
   48128, 205.654687
   48256, 206.031641
   48384, 205.462109
   48512, 205.685547
   48640, 205.602344
   48768, 205.798438
   48896, 205.845313
   49024, 206.146094
   49152, 205.891406
   49280, 206.180469
   49408, 205.965234
   49536, 206.383984
   49664, 206.388672
   49792, 206.507031
   49920, 206.441797
   50048, 206.533984
   50176, 206.501563
   50304, 206.778125
   50432, 206.598047
   50560, 206.998437
   50688, 206.788672
   50816, 207.479688
   50944, 206.905078
   51072, 207.153125
   51200, 207.069141
   51328, 207.369531
   51456, 207.156641
   51584, 207.502344
   51712, 207.579297
   51840, 207.825391
   51968, 207.588672
   52096, 207.857422
   52224, 208.158203
   52352, 207.986719
   52480, 208.031641
   52608, 208.364062
   52736, 207.936328
   52864, 208.271094
   52992, 208.110547
   53120, 208.391406
   53248, 208.370703
   53376, 208.915625
   53504, 208.466016
   53632, 208.793359
   53760, 208.608984
   53888, 208.967969
   54016, 208.897266
   54144, 209.098047
   54272, 209.050000
   54400, 209.036719
   54528, 209.101953
   54656, 209.389062
   54784, 209.262500
   54912, 209.346875
   55040, 209.219922
   55168, 209.533203
   55296, 209.364453
   55424, 209.842578
   55552, 209.778906
   55680, 209.928125
   55808, 209.977344
   55936, 210.104297
   56064, 210.067187
   56192, 210.116406
   56320, 210.232031
   56448, 210.432813
   56576, 210.273438
   56704, 211.114062
   56832, 210.462891
   56960, 210.794531
   57088, 210.641016
   57216, 210.948438
   57344, 211.317187
   57472, 210.936719
   57600, 210.746875
   57728, 211.124219
   57856, 211.042969
   57984, 212.167578
   58112, 211.184375
   58240, 211.644531
   58368, 211.392578
   58496, 211.583984
   58624, 211.399219
   58752, 211.828516
   58880, 211.567578
   59008, 211.930469
   59136, 211.817578
   59264, 211.880859
   59392, 211.716016
   59520, 212.175781
   59648, 212.856250
   59776, 212.159766
   59904, 212.093750
   60032, 212.585156
   60160, 213.103125
   60288, 212.697266
   60416, 212.577344
   60544, 212.851172
   60672, 212.670312
   60800, 212.913281
   60928, 212.728906
   61056, 213.208984
   61184, 213.003125
