Assuming page size is 64 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   8,    1.00, 0.125000, 186.032324
   8,    1.00, 0.125000, 186.276270
   8,    1.00, 0.125000, 186.082715
   8,    2.00, 0.250000, 186.272363
   8,    2.00, 0.250000, 186.081934
   8,    2.00, 0.250000, 186.277148
   8,    3.00, 0.375000, 186.331934
   8,    3.00, 0.375000, 186.024316
   8,    4.00, 0.500000, 186.087598
   8,    5.00, 0.625000, 187.098437
   8,    6.00, 0.750000, 186.625586
   8,    7.00, 0.875000, 186.293652
   8,    8.00, 1.000000, 186.050781
   8,   10.00, 1.250000, 187.102441
   8,   11.00, 1.375000, 186.071484
   8,   13.00, 1.625000, 186.841406
   8,   16.00, 2.000000, 186.075000
   8,   19.00, 2.375000, 186.574316
   8,   23.00, 2.875000, 186.033398
   8,   27.00, 3.375000, 186.858105
   8,   32.00, 4.000000, 186.087305
   8,   38.00, 4.750000, 186.842969
   8,   45.00, 5.625000, 185.282031
   8,   54.00, 6.750000, 186.558594
   8,   64.00, 8.000000, 186.066016
   8,   76.00, 9.500000, 186.308496
   8,   91.00, 11.375000, 186.622754
   8,  108.00, 13.500000, 186.270508
   8,  128.00, 16.000000, 186.090820
   8,  152.00, 19.000000, 186.824219
   8,  181.00, 22.625000, 185.780762
   8,  215.00, 26.875000, 186.306152
   8,  256.00, 32.000000, 186.100391
   8,  304.00, 38.000000, 186.289746
   8,  362.00, 45.250000, 185.540039
   8,  431.00, 53.875000, 186.564746
   8,  512.00, 64.000000, 186.044434
   8,  609.00, 76.125000, 187.381641
   8,  724.00, 90.500000, 185.270605
   8,  861.00, 107.625000, 186.829688
   8, 1024.00, 128.000000, 186.642383
   8, 1218.00, 152.250000, 186.844434
   8, 1448.00, 181.000000, 186.912012
   8, 1722.00, 215.250000, 186.299121
   8, 2048.00, 256.000000, 186.348535
   8, 2435.00, 304.375000, 186.299023
   8, 2896.00, 362.000000, 186.058203
   8, 3444.00, 430.500000, 185.759277
   8, 4096.00, 512.000000, 186.057422
   8, 4871.00, 608.875000, 186.278223
   8, 5793.00, 724.125000, 187.180469
   8, 6889.00, 861.125000, 186.040137
   8, 8192.00, 1024.000000, 186.354492
   8, 9742.00, 1217.750000, 186.831836
   8, 11585.00, 1448.125000, 185.820898
   8, 13777.00, 1722.125000, 186.031445
   8, 16384.00, 2048.000000, 186.531738
   8, 19484.00, 2435.500000, 186.420801
   8, 23170.00, 2896.250000, 187.068555
   8, 27554.00, 3444.250000, 186.157617
   8, 32768.00, 4096.000000, 186.239648
