Assuming page size is 4 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   16,    0.12, 0.007812, 187.199414
   16,    0.12, 0.007812, 187.369531
   16,    0.12, 0.007812, 187.194434
   16,    0.25, 0.015625, 187.315234
   16,    0.25, 0.015625, 187.191504
   16,    0.25, 0.015625, 187.357227
   16,    0.38, 0.023438, 186.510547
   16,    0.38, 0.023438, 186.701172
   16,    0.50, 0.031250, 186.102637
   16,    0.62, 0.039062, 186.521289
   16,    0.75, 0.046875, 186.507422
   16,    0.88, 0.054688, 186.443945
   16,    1.00, 0.062500, 186.105371
   16,    1.25, 0.078125, 186.157715
   16,    1.38, 0.085938, 185.966211
   16,    1.62, 0.101562, 186.242090
   16,    2.00, 0.125000, 186.107617
   16,    2.38, 0.148438, 186.570801
   16,    2.88, 0.179688, 186.509570
   16,    3.38, 0.210938, 186.445801
   16,    4.00, 0.250000, 186.093652
   16,    4.75, 0.296875, 186.418555
   16,    5.62, 0.351562, 185.972754
   16,    6.75, 0.421875, 186.322168
   16,    8.00, 0.500000, 186.098926
   16,    9.50, 0.593750, 186.021289
   16,   11.38, 0.710938, 186.616895
   16,   13.50, 0.843750, 186.437988
   16,   16.00, 1.000000, 186.051953
   16,   19.00, 1.187500, 186.177539
   16,   22.62, 1.414062, 186.235645
   16,   26.88, 1.679688, 186.700000
   16,   32.00, 2.000000, 186.115723
   16,   38.00, 2.375000, 186.554785
   16,   45.25, 2.828125, 185.792773
   16,   53.88, 3.367188, 186.433398
   16,   64.00, 4.000000, 186.097266
   16,   76.12, 4.757812, 186.570508
   16,   90.50, 5.656250, 186.236328
   16,  107.62, 6.726562, 186.166211
   16,  128.00, 8.000000, 186.106543
   16,  152.25, 9.515625, 186.563867
   16,  181.00, 11.312500, 186.245410
   16,  215.25, 13.453125, 186.555957
   16,  256.00, 16.000000, 186.096191
   16,  304.38, 19.023438, 186.318359
   16,  362.00, 22.625000, 186.084766
   16,  430.50, 26.906250, 186.441699
   16,  512.00, 32.000000, 186.111523
   16,  608.88, 38.054688, 186.708691
   16,  724.12, 45.257812, 186.117773
   16,  861.12, 53.820312, 186.036035
   16, 1024.00, 64.000000, 186.081641
   16, 1217.75, 76.109375, 186.728418
   16, 1448.12, 90.507812, 186.121094
   16, 1722.12, 107.632812, 186.031348
   16, 2048.00, 128.000000, 186.384668
   16, 2435.50, 152.218750, 187.427637
   16, 2896.25, 181.015625, 186.540723
   16, 3444.25, 215.265625, 186.312598
   16, 4096.00, 256.000000, 186.542676
   16, 4871.00, 304.437500, 186.868359
   16, 5792.62, 362.039062, 186.556543
   16, 6888.62, 430.539062, 186.872754
   16, 8192.00, 512.000000, 186.512695
   16, 9742.00, 608.875000, 186.879590
   16, 11585.25, 724.078125, 186.411523
   16, 13777.25, 861.078125, 186.200098
   16, 16384.00, 1024.000000, 186.410254
   16, 19484.00, 1217.750000, 186.860840
   16, 23170.50, 1448.156250, 186.405176
   16, 27554.50, 1722.156250, 186.617969
   16, 32768.00, 2048.000000, 186.518555
   16, 38968.00, 2435.500000, 186.334082
   16, 46341.00, 2896.312500, 186.392480
   16, 55109.00, 3444.312500, 186.462012
   16, 65536.00, 4096.000000, 186.522266
   16, 77935.88, 4870.992188, 186.441211
   16, 92681.88, 5792.617188, 186.399414
   16, 110218.00, 6888.625000, 186.598633
   16, 131072.00, 8192.000000, 186.509180
   16, 155871.75, 9741.984375, 186.455859
   16, 185363.75, 11585.234375, 186.826367
   16, 220436.00, 13777.250000, 186.331543
   16, 262144.00, 16384.000000, 186.559961
