Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   8,    0.06, 0.007812, 184.898730
   8,    0.06, 0.007812, 185.113574
   8,    0.06, 0.007812, 185.498242
   8,    0.12, 0.015625, 185.117676
   8,    0.12, 0.015625, 184.907129
   8,    0.12, 0.015625, 185.112695
   8,    0.19, 0.023438, 184.910547
   8,    0.19, 0.023438, 185.130566
   8,    0.25, 0.031250, 185.461621
   8,    0.31, 0.039062, 185.376270
   8,    0.38, 0.046875, 185.426465
   8,    0.44, 0.054688, 185.931055
   8,    0.50, 0.062500, 185.966211
   8,    0.62, 0.078125, 185.924219
   8,    0.69, 0.085938, 186.031543
   8,    0.81, 0.101562, 185.848145
   8,    1.00, 0.125000, 185.972656
   8,    1.19, 0.148438, 186.174414
   8,    1.44, 0.179688, 185.714063
   8,    1.69, 0.210938, 185.916992
   8,    2.00, 0.250000, 186.224316
   8,    2.38, 0.296875, 186.336523
   8,    2.81, 0.351562, 185.697949
   8,    3.38, 0.421875, 186.184473
   8,    4.00, 0.500000, 185.977344
   8,    4.75, 0.593750, 186.445996
   8,    5.69, 0.710938, 185.453711
   8,    6.75, 0.843750, 186.888086
   8,    8.00, 1.000000, 185.979395
   8,    9.50, 1.187500, 186.455762
   8,   11.31, 1.414062, 185.719531
   8,   13.44, 1.679688, 185.916699
   8,   16.00, 2.000000, 185.984863
   8,   19.00, 2.375000, 186.648535
   8,   22.62, 2.828125, 185.965918
   8,   26.94, 3.367188, 185.901465
   8,   32.00, 4.000000, 185.977539
   8,   38.06, 4.757812, 185.633691
   8,   45.25, 5.656250, 185.700098
   8,   53.81, 6.726562, 186.550293
   8,   64.00, 8.000000, 186.011914
   8,   76.12, 9.515625, 186.165625
   8,   90.50, 11.312500, 185.708496
   8,  107.62, 13.453125, 186.181445
   8,  128.00, 16.000000, 185.977539
   8,  152.19, 19.023438, 186.406543
   8,  181.00, 22.625000, 185.279687
   8,  215.25, 26.906250, 185.903711
   8,  256.00, 32.000000, 185.967480
   8,  304.44, 38.054688, 185.909766
   8,  362.06, 45.257812, 185.704785
   8,  430.56, 53.820312, 186.680664
   8,  512.00, 64.000000, 186.096484
   8,  608.88, 76.109375, 185.655176
   8,  724.06, 90.507812, 186.257812
   8,  861.06, 107.632812, 186.446875
   8, 1024.00, 128.000000, 186.244824
   8, 1217.75, 152.218750, 186.036133
   8, 1448.12, 181.015625, 186.535645
   8, 1722.12, 215.265625, 185.908984
   8, 2048.00, 256.000000, 185.986914
   8, 2435.50, 304.437500, 185.798535
   8, 2896.31, 362.039062, 186.257031
   8, 3444.31, 430.539062, 186.444434
   8, 4096.00, 512.000000, 185.715137
   8, 4871.00, 608.875000, 185.945801
   8, 5792.62, 724.078125, 186.251172
   8, 6888.62, 861.078125, 186.196191
   8, 8192.00, 1024.000000, 185.985840
   8, 9742.00, 1217.750000, 185.927832
   8, 11585.25, 1448.156250, 185.983887
   8, 13777.25, 1722.156250, 186.306641
   8, 16384.00, 2048.000000, 185.975098
   8, 19484.00, 2435.500000, 186.008008
   8, 23170.50, 2896.312500, 186.420020
   8, 27554.50, 3444.312500, 186.338477
   8, 32768.00, 4096.000000, 186.135254
   8, 38967.94, 4870.992188, 186.495117
   8, 46340.94, 5792.617188, 187.031250
   8, 55109.00, 6888.625000, 186.063965
   8, 65536.00, 8192.000000, 186.425293
   8, 77935.88, 9741.984375, 186.072461
   8, 92681.88, 11585.234375, 187.706641
   8, 110218.00, 13777.250000, 185.517969
   8, 131072.00, 16384.000000, 186.439453
   8, 155871.75, 19483.968750, 186.631543
   8, 185363.81, 23170.476562, 186.693945
   8, 220435.94, 27554.492188, 186.339160
   8, 262144.00, 32768.000000, 186.131445
   8, 311743.50, 38967.937500, 186.341309
   8, 370727.62, 46340.953125, 186.753223
   8, 440871.88, 55108.984375, 186.074219
   9,    0.07, 0.007812, 185.311621
   9,    0.07, 0.007812, 185.528223
   9,    0.07, 0.007812, 185.309766
   9,    0.14, 0.015625, 185.532715
   9,    0.14, 0.015625, 186.118555
