Assuming page size is 4 KB

GlobalDibs: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
       8, 186.084375
      12, 185.981250
      16, 186.114062
      20, 186.509766
      24, 186.112109
      28, 186.454688
      32, 186.078906
      36, 186.408984
      40, 186.117188
      44, 186.412109
      48, 186.130469
      52, 186.239453
      56, 186.110156
      60, 186.232812
      64, 186.125781
      68, 186.369141
      72, 186.128516
      76, 186.374609
      80, 186.062109
      84, 186.260938
      88, 186.131250
      92, 186.275781
      96, 186.092969
     100, 186.281641
     104, 186.133203
     108, 186.245703
     112, 186.092578
     116, 186.385938
     120, 186.158594
     124, 186.341016
     128, 186.077734
     132, 186.345703
     136, 186.138281
     140, 186.285156
     144, 186.111328
     148, 186.350781
     152, 186.114844
     156, 186.350391
     160, 186.130859
     164, 186.328906
     168, 186.117188
     172, 186.348047
     176, 186.036719
     180, 186.318359
     184, 186.114844
     188, 186.298828
     192, 186.153125
     196, 186.335156
     200, 186.119531
     204, 186.317969
     208, 186.111719
     212, 186.290625
     216, 186.121094
     220, 186.303906
     224, 186.023828
     228, 186.316016
     232, 186.158203
     236, 186.302344
     240, 186.117188
     244, 186.341406
     248, 186.117188
     252, 186.329688
     256, 186.130469
     260, 186.297656
     264, 186.120313
     268, 186.294141
     272, 186.187891
     276, 186.315234
     280, 186.118359
     284, 186.335156
     288, 186.102734
     292, 186.308203
     296, 186.143359
     300, 186.354297
     304, 186.130078
     308, 186.315625
     312, 186.128125
     316, 186.250000
     320, 186.134766
     324, 186.313672
     328, 186.133984
     332, 186.351953
     336, 186.105859
     340, 186.292969
     344, 186.093359
     348, 186.301172
     352, 186.117969
     356, 186.274609
     360, 186.065234
     364, 186.271484
     368, 186.113281
     372, 186.337500
     376, 186.102734
     380, 186.345313
     384, 186.091016
     388, 186.342187
     392, 186.107031
     396, 186.309375
     400, 186.124609
     404, 186.301172
     408, 186.121875
     412, 186.328125
     416, 186.103516
     420, 186.287500
     424, 186.144141
     428, 186.285547
     432, 186.093750
     436, 186.342969
     440, 186.080859
     444, 186.321094
     448, 186.160156
     452, 186.295703
     456, 186.100391
     460, 186.331250
     464, 186.105859
     468, 186.341406
     472, 186.123047
     476, 186.325391
     480, 186.132812
     484, 186.351562
     488, 186.112500
     492, 186.289844
     496, 186.018359
     500, 186.351562
     504, 186.126953
     508, 186.308203
     512, 186.135156
     516, 186.346875
     520, 186.098437
     524, 186.345313
     528, 186.108594
     532, 186.286719
     536, 186.125000
     540, 186.250000
     544, 186.200391
     548, 186.319141
     552, 186.114062
     556, 186.332031
     560, 186.103516
     564, 186.348047
     568, 186.132812
     572, 186.359766
     576, 186.582812
     580, 186.726953
     584, 186.613672
     588, 186.742188
     592, 186.550781
     596, 186.782031
     600, 186.520312
     604, 186.755469
     608, 186.524219
     612, 186.769141
     616, 186.549219
     620, 186.733984
     624, 186.542969
     628, 186.649609
     632, 186.533594
     636, 186.730859
     640, 186.593750
     644, 186.744531
     648, 186.563281
     652, 186.754687
     656, 186.538281
     660, 186.744531
     664, 186.519531
     668, 186.725391
     672, 186.513672
     676, 186.759375
     680, 186.534375
     684, 186.757031
     688, 186.549219
