Assuming page size is 4 KB

GlobalDibs: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
       8, 185.990234
      12, 185.832031
      16, 186.112500
      20, 187.357422
      24, 186.101562
      28, 186.363281
      32, 185.989062
      36, 186.316797
      40, 185.997266
      44, 186.303125
      48, 185.988672
      52, 186.091797
      56, 185.994922
      60, 186.143750
      64, 185.995313
      68, 187.139844
      72, 186.541406
      76, 186.245703
      80, 186.011719
      84, 186.158203
      88, 185.999219
      92, 186.164844
      96, 185.990234
     100, 186.186719
     104, 185.995703
     108, 186.157422
     112, 186.011719
     116, 186.741797
     120, 186.962500
     124, 186.237891
     128, 186.002734
     132, 186.235547
     136, 185.977344
     140, 186.232031
     144, 185.985547
     148, 186.176562
     152, 186.021094
     156, 186.191016
     160, 186.004687
     164, 186.196094
     168, 186.977734
     172, 186.424219
     176, 186.012500
     180, 186.228516
     184, 185.997656
     188, 186.235156
     192, 186.034766
     196, 186.173438
     200, 186.005078
     204, 186.197266
     208, 185.989453
     212, 186.237891
     216, 186.863281
     220, 186.713672
     224, 186.014453
     228, 186.225391
     232, 185.990234
     236, 186.215234
     240, 186.016797
     244, 186.183984
     248, 185.992188
     252, 186.193359
     256, 185.994922
     260, 186.230078
     264, 186.798047
     268, 186.851953
     272, 185.992188
     276, 186.199609
     280, 185.983984
     284, 186.176562
     288, 185.999609
     292, 186.180859
     296, 185.997656
     300, 186.180859
     304, 185.995703
     308, 186.227344
     312, 186.553125
     316, 187.064844
     320, 186.002734
     324, 186.179688
     328, 186.019922
     332, 186.201953
     336, 186.001563
     340, 186.210547
     344, 185.985938
     348, 186.219531
     352, 185.996875
     356, 186.209375
     360, 186.513281
     364, 187.117188
     368, 186.005078
     372, 186.183984
     376, 186.018359
     380, 186.183984
     384, 186.021484
     388, 186.225000
     392, 185.998047
     396, 186.215234
     400, 186.017188
     404, 186.191016
     408, 186.633594
     412, 186.935156
     416, 186.008203
     420, 186.187500
     424, 185.996484
     428, 186.182031
     432, 186.007031
     436, 186.186328
     440, 185.992188
     444, 186.216406
     448, 186.021484
     452, 186.196875
     456, 186.936719
     460, 186.554297
     464, 185.982812
     468, 186.208594
     472, 185.983203
     476, 186.216797
     480, 186.009375
     484, 186.198828
     488, 185.988281
     492, 186.237109
     496, 186.005469
     500, 186.449609
     504, 186.972266
     508, 186.176172
     512, 185.974219
     516, 186.207031
     520, 186.004687
     524, 186.216406
     528, 186.007422
     532, 186.173438
     536, 186.008984
     540, 186.171094
     544, 186.007031
     548, 186.796484
     552, 186.649609
     556, 186.183203
     560, 185.999219
     564, 186.220313
     568, 186.006641
     572, 186.220703
     576, 185.991797
     580, 186.175391
     584, 186.009375
     588, 186.183984
     592, 185.994141
     596, 187.192187
     600, 186.069531
     604, 186.206250
     608, 185.991797
     612, 186.201953
     616, 185.992578
     620, 186.197266
     624, 185.997656
     628, 186.182422
     632, 185.982812
     636, 186.178906
     640, 186.868359
     644, 186.630859
     648, 185.985547
     652, 186.192969
     656, 185.984375
     660, 186.205469
     664, 186.000000
     668, 186.208203
     672, 186.011328
     676, 186.204297
     680, 186.002734
     684, 186.611719
     688, 186.929688
     692, 186.181641
     696, 185.975000
     700, 186.173438
     704, 186.003906
     708, 186.189453
