Assuming page size is 4 KB

Global5: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
    4096, 186.112109
    4608, 186.424609
    5120, 186.333984
    5632, 186.391406
    6144, 186.130469
    6656, 186.236719
    7168, 185.975781
    7680, 186.216016
    8192, 186.052344
    8704, 197.185937
    9216, 196.962500
    9728, 197.214844
   10240, 197.112109
   10752, 197.301562
   11264, 197.152344
   11776, 197.285156
   12288, 197.097266
   12800, 197.247266
   13312, 196.911328
   13824, 197.658984
   14336, 197.489062
   14848, 197.751172
   15360, 197.571484
   15872, 197.747266
   16384, 197.547656
   16896, 197.706250
   17408, 197.458203
   17920, 197.709766
   18432, 197.516797
   18944, 197.776953
   19456, 197.578906
   19968, 197.734375
   20480, 197.497266
   20992, 197.666016
   21504, 197.460156
   22016, 197.699609
   22528, 197.521875
   23040, 197.689453
   23552, 197.504687
   24064, 197.688281
   24576, 197.553125
   25088, 197.751172
   25600, 197.575391
   26112, 197.722266
   26624, 197.482031
   27136, 197.638281
   27648, 197.457812
   28160, 197.694922
   28672, 197.501563
   29184, 197.710547
   29696, 197.534766
   30208, 197.766406
   30720, 197.520703
   31232, 197.685547
   31744, 197.485938
   32256, 197.709766
   32768, 197.492578
   33280, 197.707031
   33792, 197.603125
   34304, 197.741016
   34816, 197.507422
   35328, 197.714453
   35840, 197.471484
   36352, 197.707812
   36864, 197.477734
   37376, 197.715234
   37888, 197.518359
   38400, 197.723047
   38912, 197.496875
   39424, 197.706250
   39936, 197.514453
   40448, 197.717187
   40960, 197.524609
   41472, 197.651563
   41984, 197.478125
   42496, 197.723437
   43008, 197.483594
   43520, 197.666406
   44032, 197.507031
   44544, 197.714844
   45056, 197.486328
   45568, 197.671484
   46080, 197.391406
   46592, 197.694141
   47104, 197.507422
   47616, 197.686328
   48128, 197.541797
   48640, 197.716016
   49152, 197.550000
   49664, 197.646094
   50176, 197.461328
   50688, 197.697266
   51200, 197.490625
   51712, 197.724219
   52224, 197.532031
   52736, 197.706250
   53248, 197.522656
   53760, 197.701562
   54272, 197.486719
   54784, 197.718359
   55296, 197.498828
   55808, 197.692578
   56320, 197.465625
   56832, 197.694141
   57344, 197.492188
   57856, 197.728516
   58368, 197.524219
   58880, 197.712109
   59392, 197.498437
   59904, 197.655469
   60416, 197.464063
   60928, 197.681250
   61440, 197.494141
   61952, 197.681641
   62464, 197.513281
   62976, 197.712891
   63488, 197.482422
   64000, 197.722266
   64512, 197.535937
   65024, 197.729688
   65536, 197.517188
   66048, 197.687500
   66560, 197.469141
   67072, 197.678516
   67584, 197.515625
   68096, 197.688672
   68608, 197.493359
   69120, 197.676562
   69632, 197.503906
   70144, 197.681641
   70656, 197.473047
   71168, 197.703516
   71680, 197.430469
   72192, 197.709766
   72704, 197.479297
   73216, 197.678125
   73728, 197.534766
   74240, 197.735156
   74752, 197.537891
   75264, 197.706250
   75776, 197.487109
   76288, 197.670703
   76800, 197.445312
   77312, 197.708203
   77824, 197.475391
   78336, 197.703125
   78848, 197.494531
   79360, 197.705859
   79872, 197.485938
   80384, 197.678906
   80896, 197.468750
   81408, 197.708984
   81920, 197.499219
   82432, 197.679688
   82944, 197.493750
   83456, 197.710938
   83968, 197.472656
   84480, 197.693359
   84992, 197.497266
   85504, 197.703125
   86016, 197.517578
   86528, 197.715625
   87040, 197.489062
   87552, 197.705078
   88064, 197.450000
   88576, 197.748437
   89088, 197.526953
   89600, 197.701953
   90112, 197.489844
   90624, 197.703125
   91136, 197.485156
   91648, 197.661328
   92160, 197.473828
   92672, 197.665234
   93184, 197.531250
   93696, 197.683594
   94208, 197.489844
   94720, 197.691406
   95232, 197.493750
   95744, 197.594531
   96256, 197.526172
   96768, 197.703125
   97280, 197.507812
   97792, 197.703516
   98304, 197.492188
   98816, 197.703906
   99328, 197.520703
   99840, 197.726172
   100352, 197.490625
   100864, 197.719531
   101376, 197.530078
   101888, 197.609375
   102400, 197.529687
   102912, 197.714844
   103424, 197.483594
   103936, 197.675781
   104448, 197.484766
   104960, 197.724609
   105472, 197.462500
   105984, 197.696484
   106496, 197.511328
   107008, 197.741406
   107520, 197.512109
   108032, 197.716797
   108544, 197.465625
   109056, 197.680469
   109568, 197.492969
   110080, 197.689063
   110592, 197.530859
   111104, 197.690234
   111616, 197.478906
   112128, 197.703516
   112640, 197.519531
   113152, 197.707812
   113664, 197.501172
   114176, 197.691797
   114688, 197.506250
   115200, 197.676953
   115712, 197.520703
   116224, 197.714453
   116736, 197.462891
   117248, 197.699219
   117760, 197.494922
   118272, 197.690625
   118784, 197.482422
   119296, 197.669141
   119808, 197.489844
   120320, 197.671094
   120832, 197.564063
   121344, 197.733203
   121856, 197.505469
   122368, 197.627734
   122880, 197.514453
   123392, 197.637500
   123904, 197.480859
   124416, 197.674219
   124928, 197.494141
   125440, 197.694531
   125952, 197.492969
   126464, 197.688672
   126976, 197.535156
   127488, 197.687891
   128000, 197.473047
   128512, 197.699609
   129024, 197.465625
   129536, 197.702734
   130048, 197.502734
   130560, 197.704688
   131072, 197.490625
   131584, 197.700391
   132096, 197.569141
   132608, 197.914453
   133120, 197.762891
   133632, 198.241406
   134144, 198.040625
   134656, 198.514062
   135168, 198.324609
   135680, 198.792578
   136192, 198.592969
   136704, 198.992188
   137216, 198.820312
   137728, 199.297656
   138240, 199.131641
   138752, 199.575781
   139264, 199.441016
   139776, 199.855469
   140288, 199.695312
   140800, 200.102734
   141312, 199.998047
   141824, 200.387109
   142336, 200.208594
   142848, 200.600000
   143360, 200.535156
   143872, 200.880078
   144384, 200.772656
   144896, 201.129297
   145408, 201.166406
   145920, 201.381250
   146432, 201.293750
   146944, 201.791406
   147456, 201.558594
   147968, 202.108984
   148480, 201.950391
   148992, 202.287891
   149504, 201.997266
   150016, 202.489062
   150528, 202.500000
   151040, 202.758594
   151552, 202.538281
   152064, 203.051562
   152576, 203.075781
   153088, 203.363672
   153600, 203.316797
   154112, 203.606250
   154624, 203.615234
   155136, 203.798828
   155648, 203.780469
   156160, 204.160547
   156672, 204.011719
   157184, 204.407031
   157696, 204.333984
   158208, 204.746875
   158720, 204.637109
   159232, 205.017188
   159744, 204.800391
   160256, 205.325000
   160768, 205.112109
   161280, 205.428125
   161792, 205.429297
   162304, 205.772266
   162816, 205.707812
   163328, 206.053125
   163840, 205.989844
   164352, 206.415625
   164864, 206.194531
   165376, 206.519141
   165888, 206.498828
   166400, 206.885156
   166912, 206.724219
   167424, 207.219531
   167936, 207.063672
   168448, 207.421875
   168960, 207.289844
   169472, 207.734766
   169984, 207.477344
   170496, 207.939063
   171008, 207.917969
   171520, 208.217187
   172032, 208.197656
   172544, 208.524219
   173056, 208.354297
   173568, 208.765234
   174080, 208.710547
   174592, 209.061719
   175104, 208.969531
   175616, 209.354297
   176128, 209.535547
   176640, 209.644922
   177152, 209.363281
   177664, 209.926172
   178176, 209.782031
   178688, 210.197266
   179200, 210.035937
   179712, 210.403906
   180224, 210.299609
   180736, 210.652734
   181248, 210.647266
   181760, 211.107812
   182272, 210.840625
   182784, 211.253125
   183296, 211.042578
   183808, 211.482031
   184320, 211.367969
   184832, 211.758594
   185344, 211.710547
   185856, 212.043359
   186368, 211.814453
   186880, 212.355469
   187392, 212.282031
   187904, 212.641797
   188416, 212.503516
   188928, 212.832031
   189440, 212.630859
   189952, 213.114062
   190464, 213.244141
   190976, 213.551172
   191488, 213.363672
   192000, 213.550781
   192512, 213.649219
   193024, 214.003516
   193536, 213.929297
   194048, 214.265234
   194560, 214.109766
   195072, 214.458984
   195584, 214.410156
   196096, 214.768359
   196608, 214.719922
   197120, 215.086719
   197632, 215.013672
   198144, 215.321094
   198656, 215.170312
   199168, 215.700000
   199680, 215.670312
   200192, 215.667578
   200704, 215.754297
   201216, 216.013281
   201728, 216.126953
   202240, 216.404297
   202752, 216.413281
   203264, 216.753516
   203776, 216.599219
   204288, 216.922266
   204800, 216.931250
   205312, 217.180859
   205824, 217.237891
   206336, 217.471484
   206848, 217.446484
   207360, 217.790234
   207872, 217.675781
   208384, 218.133594
   208896, 217.985547
   209408, 218.382812
   209920, 218.120313
   210432, 218.553125
   210944, 218.579297
   211456, 218.737891
   211968, 218.824219
   212480, 219.193750
   212992, 219.053906
   213504, 219.390625
   214016, 219.275391
   214528, 219.890234
   215040, 219.473437
   215552, 219.702344
   216064, 219.901563
   216576, 220.252344
   217088, 220.126953
   217600, 220.535547
   218112, 220.282031
   218624, 220.827344
   219136, 220.657031
   219648, 220.950391
   220160, 220.949219
   220672, 221.294141
   221184, 221.243750
   221696, 221.607031
   222208, 221.474609
   222720, 221.796484
   223232, 221.813281
   223744, 222.092578
   224256, 222.410547
   224768, 222.325000
   225280, 222.330859
   225792, 222.752734
   226304, 222.694922
   226816, 222.875391
   227328, 222.898438
   227840, 223.197656
   228352, 223.016797
   228864, 223.549219
   229376, 223.468750
   229888, 223.775391
   230400, 223.996875
   230912, 223.837500
   231424, 223.973437
   231936, 224.330078
   232448, 224.233984
   232960, 224.535547
   233472, 224.600000
   233984, 224.871484
   234496, 224.660937
   235008, 224.996484
   235520, 224.985938
   236032, 225.455078
   236544, 225.310156
   237056, 225.497266
   237568, 225.558203
   238080, 225.924219
   238592, 225.764062
   239104, 226.164844
   239616, 226.083203
   240128, 226.486328
   240640, 226.432422
   241152, 226.732812
   241664, 226.668359
   242176, 226.987109
   242688, 226.940234
   243200, 227.212891
   243712, 227.280078
   244224, 228.069531
   244736, 227.350000
   245248, 227.880078
   245760, 227.501172
   246272, 228.055469
   246784, 228.001563
   247296, 228.348828
   247808, 228.180469
   248320, 229.065625
   248832, 228.304297
   249344, 228.777344
   249856, 228.745313
   250368, 229.522656
   250880, 229.147266
   251392, 229.518359
   251904, 229.300391
   252416, 229.547266
   252928, 229.713281
   253440, 229.992188
   253952, 229.824219
   254464, 230.273828
   254976, 230.119922
   255488, 230.568359
   256000, 230.286719
   256512, 230.757422
   257024, 230.826562
   257536, 231.116406
   258048, 231.296094
   258560, 231.338281
   259072, 231.146484
   259584, 231.688672
   260096, 231.547266
   260608, 231.900391
   261120, 231.879687
   261632, 232.060156
   262144, 232.204297
   262656, 232.276953
   263168, 232.205859
   263680, 232.289062
   264192, 232.172266
   264704, 232.252734
   265216, 232.228906
   265728, 232.103516
   266240, 232.197656
   266752, 232.308203
   267264, 232.223047
   267776, 232.167188
   268288, 232.004297
   268800, 232.303906
   269312, 232.179297
   269824, 232.152344
   270336, 232.166016
   270848, 232.287500
   271360, 232.218750
   271872, 232.173828
   272384, 232.020703
   272896, 232.276172
   273408, 232.169141
   273920, 232.328906
   274432, 232.611328
   274944, 232.282031
   275456, 232.108594
   275968, 232.178516
   276480, 232.217578
   276992, 232.335938
   277504, 232.119141
   278016, 232.272266
   278528, 232.164062
   279040, 232.325781
   279552, 232.150391
   280064, 232.240625
   280576, 232.064453
   281088, 232.194922
   281600, 232.129297
   282112, 232.103125
   282624, 232.133984
   283136, 232.295703
   283648, 232.180078
   284160, 232.267578
   284672, 232.041016
   285184, 232.291797
   285696, 232.141016
   286208, 232.328125
   286720, 232.023438
   287232, 232.151172
   287744, 232.021094
   288256, 232.279687
   288768, 231.971094
   289280, 232.279687
   289792, 232.027734
   290304, 232.264062
   290816, 232.187891
   291328, 232.284375
   291840, 232.224219
   292352, 232.290234
   292864, 232.068359
   293376, 232.275391
   293888, 232.016406
   294400, 232.116406
   294912, 232.224219
   295424, 232.211719
   295936, 232.062891
   296448, 232.272656
   296960, 232.088281
   297472, 232.288281
   297984, 232.158594
   298496, 232.249219
   299008, 232.195312
   299520, 232.138281
   300032, 232.092187
   300544, 232.226953
   301056, 232.145312
   301568, 232.264453
   302080, 232.132422
   302592, 232.269531
   303104, 232.165234
   303616, 232.143359
   304128, 232.137891
   304640, 232.324219
   305152, 232.048438
   305664, 232.221094
   306176, 232.189063
   306688, 232.279297
   307200, 232.025000
   307712, 232.235156
   308224, 232.157031
   308736, 232.089453
   309248, 232.066797
   309760, 232.130859
   310272, 232.146484
   310784, 232.238281
   311296, 232.072656
   311808, 232.307422
   312320, 232.150000
   312832, 232.242578
   313344, 232.190625
   313856, 232.212891
   314368, 232.186328
   314880, 232.315234
   315392, 232.203516
   315904, 232.252344
   316416, 232.209766
   316928, 232.276953
   317440, 232.178125
   317952, 232.337109
   318464, 232.104688
   318976, 232.203906
   319488, 232.067187
   320000, 232.280078
   320512, 232.154687
   321024, 232.252344
   321536, 232.130469
   322048, 232.200000
   322560, 232.164844
   323072, 232.364062
   323584, 232.054297
   324096, 232.726953
   324608, 232.133984
   325120, 232.064453
   325632, 232.419531
   326144, 232.261328
   326656, 232.139844
   327168, 232.285156
   327680, 231.974219
   328192, 232.225391
   328704, 232.197266
   329216, 232.218359
   329728, 232.003516
   330240, 232.251563
   330752, 232.122266
   331264, 232.216797
   331776, 232.200000
   332288, 232.248047
   332800, 231.979688
   333312, 232.167969
   333824, 232.178125
   334336, 232.268750
   334848, 232.219922
   335360, 232.309375
   335872, 232.166016
   336384, 232.266016
   336896, 232.147656
   337408, 232.276172
   337920, 232.114844
   338432, 232.312109
   338944, 232.026172
   339456, 232.123437
   339968, 232.173438
   340480, 232.280469
   340992, 232.181641
   341504, 232.172656
   342016, 232.601953
   342528, 232.715625
   343040, 232.488672
   343552, 232.773047
   344064, 232.468750
   344576, 232.256641
   345088, 232.055859
   345600, 232.284375
   346112, 232.069922
   346624, 232.235547
   347136, 232.207812
   347648, 232.280078
   348160, 232.435547
   348672, 232.227344
   349184, 232.166406
   349696, 232.271484
   350208, 232.565625
   350720, 232.141016
   351232, 232.201953
   351744, 232.300000
   352256, 232.210938
   352768, 232.285547
   353280, 232.579297
   353792, 232.258594
   354304, 232.087109
   354816, 232.202344
   355328, 232.024219
   355840, 232.087109
   356352, 231.989062
   356864, 232.098437
   357376, 232.126953
   357888, 232.112109
